index,feature,feature name,importance
1,13,median_aY_hand(t),1.0
2,1,mean_aY_hand(t),0.98550415825019211
3,37,q20_aY_hand(t),0.90195567074088545
4,61,q95_aY_hand(t),0.71322868831192743
5,49,q80_aY_hand(t),0.68693161889232712
6,8,mean_aZ_chest(t),0.60859760113534023
7,25,q05_aY_hand(t),0.58297701032160942
8,20,median_aZ_chest(t),0.53026902697584044
9,133,crestfactor_aY_hand(t),0.52538981084708403
10,750,hand_roll_q20,0.50307176467240056
11,749,hand_pitch_q20,0.46243090385919416
12,56,q80_aZ_chest(t),0.45772413799447731
13,954,spectral_energy_aZ_chest,0.45020250498576353
14,44,q20_aZ_chest(t),0.4362959725063148
15,999,bin_0_aY_hand(t),0.4257192845231747
16,737,hand_pitch_mean,0.42392961856517936
17,68,q95_aZ_chest(t),0.40002733231589394
18,738,hand_roll_mean,0.39217973389760047
19,12,median_aX_hand(t),0.38754099619516985
20,877,std_aZ_chest(s),0.38144307887251733
21,128,rms_aZ_chest(t),0.3722434285135135
22,913,rms_aZ_chest(s),0.36400855248846847
23,0,mean_aX_hand(t),0.36125988681616916
24,777,hand_pitch_rms,0.36122868668041519
25,753,hand_pitch_q80,0.35464903078135196
26,740,chest_roll_mean,0.34064709105759577
27,869,std_aX_hand(s),0.33815154214706544
28,32,q05_aZ_chest(t),0.33765128926982479
29,741,hand_pitch_median,0.33550100810053529
30,14,median_aZ_hand(t),0.32811458346556438
31,747,chest_pitch_q05,0.32733604431708641
32,140,crestfactor_aZ_chest(t),0.32202768237407775
33,783,chest_pitch_crestfactor,0.32071298744525045
34,871,std_aZ_hand(s),0.3202740473431801
35,776,chest_roll_mad,0.30582897176745416
36,38,q20_aZ_hand(t),0.3010347439119665
37,775,chest_pitch_mad,0.30016204926531448
38,966,spectral_entropy_aZ_chest,0.29979357361094167
39,773,hand_pitch_mad,0.29836302383686808
40,1001,bin_30_aY_hand(t),0.29781645976108323
41,26,q05_aZ_hand(t),0.29704034276638414
42,912,rms_aY_chest(s),0.29586551976781539
43,55,q80_aY_chest(t),0.2922489484298505
44,48,q80_aX_hand(t),0.28921615197251316
45,7,mean_aY_chest(t),0.28311117002385289
46,2,mean_aZ_hand(t),0.28123284015935046
47,778,hand_roll_rms,0.272601777000896
48,752,chest_roll_q20,0.27253360290115802
49,1002,bin_70_aY_hand(t),0.26917601168898608
50,24,q05_aX_hand(t),0.26763620384149484
51,127,rms_aY_chest(t),0.26697447880189196
52,36,q20_aX_hand(t),0.26639041672476532
53,774,hand_roll_mad,0.26516689357195128
54,905,rms_aX_hand(s),0.25945942273169137
55,739,chest_pitch_mean,0.25944072453338052
56,19,median_aY_chest(t),0.25892912981245142
57,953,spectral_energy_aY_chest,0.25830474605804504
58,907,rms_aZ_hand(s),0.25695438255052255
59,946,spectral_energy_aX_hand,0.25118257432980345
60,50,q80_aZ_hand(t),0.24760213233944328
61,754,hand_roll_q80,0.24683319617404698
62,876,std_aY_chest(s),0.24631011811463363
63,948,spectral_energy_aZ_hand,0.24596935001483564
64,947,spectral_energy_aY_hand,0.24372657063233624
65,122,rms_aZ_hand(t),0.23942077435550371
66,906,rms_aY_hand(s),0.23561109744730926
67,870,std_aY_hand(s),0.23388092763350357
68,120,rms_aX_hand(t),0.23238424479923428
69,67,q95_aY_chest(t),0.23051552152916729
70,1037,bin_70_aZ_chest(t),0.22716767707642258
71,742,hand_roll_median,0.21803106394241467
72,1032,bin_70_aY_chest(t),0.21663829283239625
73,121,rms_aY_hand(t),0.21642400276067092
74,43,q20_aY_chest(t),0.21318194143751287
75,60,q95_aX_hand(t),0.20913276382959473
76,42,q20_aX_chest(t),0.20338892146828469
77,153,smv_ha(t),0.19751312823458239
78,900,mad_aY_chest(s),0.19334421574985672
79,62,q95_aZ_hand(t),0.1930959756611749
80,978,spectral_centroid_aZ_chest,0.19116107599125418
81,1035,bin_10_aZ_chest(t),0.18942874640751636
82,944,sma_ca(s),0.18934461382691625
83,757,hand_pitch_q95,0.18534271354516341
84,901,mad_aZ_chest(s),0.18060671432734043
85,1031,bin_30_aY_chest(t),0.17660690888488192
86,159,sma_ca(t),0.1752510987261367
87,761,hand_pitch_kurtosis,0.17511152891040221
88,31,q05_aY_chest(t),0.17488971894112651
89,683,derivative_4_std_aX_chest,0.17378009762473609
90,157,sma_ha(t),0.17282097371597235
91,6,mean_aX_chest(t),0.17262917260674859
92,1036,bin_30_aZ_chest(t),0.17175552609447481
93,784,chest_roll_crestfactor,0.16718187198909268
94,1000,bin_10_aY_hand(t),0.16633188050497166
95,760,chest_roll_q95,0.1659264985721553
96,30,q05_aX_chest(t),0.15976506577418709
97,792,mean_aY_chest(s),0.15946060539262336
98,764,chest_roll_kurtosis,0.15892004709683907
99,780,chest_roll_rms,0.15833057982742757
100,763,chest_pitch_kurtosis,0.15745087173382571
101,149,corr_caY_caZ(t),0.15629935984134125
102,1030,bin_10_aY_chest(t),0.15436712773338424
103,751,chest_pitch_q20,0.15045147482396659
104,934,corr_caY_caZ(s),0.1496784518894137
105,894,mad_aY_hand(s),0.14740697874726164
106,759,chest_pitch_q95,0.14738688361095514
107,765,hand_pitch_std,0.14732045430499666
108,910,rms_gZ_hand(s),0.14713420139832631
109,893,mad_aX_hand(s),0.14623722634122563
110,1008,bin_90_aZ_hand(t),0.14589540471454235
111,762,hand_roll_kurtosis,0.14398685868426514
112,875,std_aX_chest(s),0.14387521371788795
113,996,bin_30_aX_hand(t),0.14187452037047857
114,782,hand_roll_crestfactor,0.14089231437043398
115,89,std_gZ_hand(t),0.1408859374759967
116,126,rms_aX_chest(t),0.14009058515029774
117,250,derivative_1_std_gZ_hand,0.13620416938353458
118,18,median_aX_chest(t),0.13609341055894786
119,918,crestfactor_aY_hand(s),0.13560156810373969
120,539,derivative_3_std_aX_chest,0.1347979755547003
121,1003,bin_90_aY_hand(t),0.13388918463388036
122,1006,bin_30_aZ_hand(t),0.13356586960028033
123,54,q80_aX_chest(t),0.13096427515951714
124,911,rms_aX_chest(s),0.1267066917515994
125,895,mad_aZ_hand(s),0.12587762463777155
126,943,sma_hg(s),0.12568995465738977
127,951,spectral_energy_gZ_hand,0.12559355170090664
128,952,spectral_energy_aX_chest,0.12554722582096897
129,684,derivative_4_std_aY_chest,0.1252188074952742
130,865,kurtosis_aZ_chest(s),0.12480062722177711
131,874,std_gZ_hand(s),0.12403377076881585
132,925,crestfactor_aZ_chest(s),0.12377073310120104
133,66,q95_aX_chest(t),0.12311229929555582
134,113,mad_gZ_hand(t),0.1210245020582556
135,898,mad_gZ_hand(s),0.11954086425134201
136,1007,bin_70_aZ_hand(t),0.11894515508919096
137,125,rms_gZ_hand(t),0.11864598656347583
138,433,derivative_2_rms_aZ_chest,0.11862253100056688
139,274,derivative_1_mad_gZ_hand,0.11795195638929509
140,997,bin_70_aX_hand(t),0.11782445208892861
141,1034,bin_0_aZ_chest(t),0.11672329812703618
142,155,smv_ca(t),0.11552269975077653
143,787,mean_aZ_hand(s),0.11367582860989159
144,766,hand_roll_std,0.11361431678477069
145,1033,bin_90_aY_chest(t),0.11254543754894579
146,719,derivative_4_rms_aX_chest,0.11248787025108105
147,785,mean_aX_hand(s),0.11060591251657444
148,899,mad_aX_chest(s),0.10929193055411975
149,748,chest_roll_q05,0.10906074102742727
150,995,bin_10_aX_hand(t),0.10887200364718093
151,889,skew_aZ_chest(s),0.10874729971411619
152,660,derivative_4_q95_aY_chest,0.10865365356361506
153,575,derivative_3_rms_aX_chest,0.10571676380223209
154,286,derivative_1_rms_gZ_hand,0.10536621210223163
155,883,skew_aZ_hand(s),0.10506637016003643
156,158,sma_hg(t),0.10488081942687796
157,722,derivative_4_rms_gX_chest,0.10440917726457691
158,434,derivative_2_rms_gX_chest,0.10376721035906439
159,707,derivative_4_mad_aX_chest,0.10373674383539092
160,924,crestfactor_aY_chest(s),0.1033171595084556
161,919,crestfactor_aZ_hand(s),0.10328587823369044
162,971,spectral_centroid_aY_hand,0.10323060681094917
163,864,kurtosis_aY_chest(s),0.10208755009384457
164,29,q05_gZ_hand(t),0.1020837990596703
165,542,derivative_3_std_gX_chest,0.10079167292283414
166,154,smv_hg(t),0.10077994108880904
167,253,derivative_1_std_aZ_chest,0.099971386660397357
168,720,derivative_4_rms_aY_chest,0.099962577293229382
169,904,mad_gZ_chest(s),0.099849201754088873
170,972,spectral_centroid_aZ_hand,0.09911639784451115
171,857,kurtosis_aX_hand(s),0.098476774504459255
172,289,derivative_1_rms_aZ_chest,0.098166613183464632
173,529,derivative_3_kurtosis_aZ_chest,0.097976250537230969
174,659,derivative_4_q95_aX_chest,0.097363336636820744
175,421,derivative_2_mad_aZ_chest,0.096276580683827107
176,91,std_aY_chest(t),0.096270558052364508
177,151,corr_haY_caY(t),0.095726389054197059
178,786,mean_aY_hand(s),0.095490041618237514
179,398,derivative_2_std_gX_chest,0.095326054393127385
180,92,std_aZ_chest(t),0.095073563356364715
181,793,mean_aZ_chest(s),0.09425746944978465
182,204,derivative_1_q20_aY_chest,0.094171636259466937
183,1005,bin_10_aZ_hand(t),0.094148221788097383
184,859,kurtosis_aZ_hand(s),0.093958593881257421
185,576,derivative_3_rms_aY_chest,0.09385800990478789
186,478,derivative_3_q05_gZ_hand,0.092790099227725895
187,94,std_gY_chest(t),0.092389822515870981
188,540,derivative_3_std_aY_chest,0.091701537490101334
189,541,derivative_3_std_aZ_chest,0.090212195665253014
190,708,derivative_4_mad_aY_chest,0.08976565162470368
191,686,derivative_4_std_gX_chest,0.08969870076447882
192,917,crestfactor_aX_hand(s),0.089351863647710708
193,269,derivative_1_mad_aX_hand,0.089050212255136388
194,395,derivative_2_std_aX_chest,0.088161860805037254
195,240,derivative_1_kurtosis_aY_chest,0.088093539348699457
196,746,hand_roll_q05,0.088089996215996086
197,384,derivative_2_kurtosis_aY_chest,0.08737544053624488
198,431,derivative_2_rms_aX_chest,0.087295834405909128
199,88,std_gY_hand(t),0.087204923144166391
200,873,std_gY_hand(s),0.087189330752394212
201,882,skew_aY_hand(s),0.087072624636978069
202,771,chest_pitch_skew,0.086555798118361241
203,909,rms_gY_hand(s),0.086515739574987011
204,41,q20_gZ_hand(t),0.08646014696691659
205,577,derivative_3_rms_aZ_chest,0.086329237916411783
206,721,derivative_4_rms_aZ_chest,0.086075844300631504
207,132,crestfactor_aX_hand(t),0.085109839308291024
208,970,spectral_centroid_aX_hand,0.084706927627084969
209,79,kurtosis_aY_chest(t),0.083976400856786801
210,370,derivative_2_q95_gZ_hand,0.083857071585899792
211,115,mad_aY_chest(t),0.083597903649896332
212,202,derivative_1_q20_gZ_hand,0.083422664143795552
213,139,crestfactor_aY_chest(t),0.082756065601015866
214,1026,bin_30_aX_chest(t),0.082646385294792776
215,756,chest_roll_q80,0.082393718953503323
216,744,chest_roll_median,0.082352704797242174
217,108,mad_aX_hand(t),0.081443924258410821
218,221,derivative_1_q95_aX_hand,0.080975986335597799
219,397,derivative_2_std_aZ_chest,0.080843588906120006
220,964,spectral_entropy_aX_chest,0.080769719807639875
221,687,derivative_4_std_gY_chest,0.080597475336905519
222,977,spectral_centroid_aY_chest,0.080480562415444018
223,124,rms_gY_hand(t),0.080331396510029962
224,95,std_gZ_chest(t),0.079911088629156565
225,435,derivative_2_rms_gY_chest,0.07939293671806559
226,192,derivative_1_q05_aY_chest,0.079215690500785085
227,942,sma_ha(s),0.079134371468456241
228,334,derivative_2_q05_gZ_hand,0.078869778401553681
229,723,derivative_4_rms_gY_chest,0.078124555139077706
230,277,derivative_1_mad_aZ_chest,0.07807989266573781
231,950,spectral_energy_gY_hand,0.077994863447361881
232,123,rms_gX_hand(t),0.077812274929853445
233,566,derivative_3_mad_gX_chest,0.077767916499797474
234,789,mean_gY_hand(s),0.077465839825853477
235,579,derivative_3_rms_gY_chest,0.077447467407478474
236,515,derivative_3_q95_aX_chest,0.076948855683629233
237,772,chest_roll_skew,0.076933361384679544
238,255,derivative_1_std_gY_chest,0.076310611638296971
239,256,derivative_1_std_gZ_chest,0.076117143572492801
240,960,spectral_entropy_aZ_hand,0.075931446360338453
241,498,derivative_3_q80_aY_hand,0.075246618089225101
242,291,derivative_1_rms_gY_chest,0.074531372091419884
243,1025,bin_10_aX_chest(t),0.074503977370825897
244,543,derivative_3_std_gY_chest,0.074087009797025219
245,672,derivative_4_kurtosis_aY_chest,0.073962752167103546
246,418,derivative_2_mad_gZ_hand,0.073820938019285215
247,563,derivative_3_mad_aX_chest,0.07381121310282214
248,558,derivative_3_mad_aY_hand,0.073514060805799156
249,399,derivative_2_std_gY_chest,0.073497773417319001
250,567,derivative_3_mad_gY_chest,0.073161881413726634
251,281,derivative_1_rms_aX_hand,0.073097839200443465
252,87,std_gX_hand(t),0.072807494358073932
253,858,kurtosis_aY_hand(s),0.072777262307518825
254,138,crestfactor_aX_chest(t),0.072471088507631107
255,422,derivative_2_mad_gX_chest,0.072387103970540448
256,578,derivative_3_rms_gX_chest,0.071579335262461255
257,85,std_aY_hand(t),0.071474280348607352
258,897,mad_gY_hand(s),0.071467539674160321
259,479,derivative_3_q05_aX_chest,0.071240326248339966
260,624,derivative_4_q05_aY_chest,0.071079772888203302
261,881,skew_aX_hand(s),0.071061547538882081
262,112,mad_gY_hand(t),0.071059608832271817
263,279,derivative_1_mad_gY_chest,0.070878583350586749
264,193,derivative_1_q05_aZ_chest,0.070846394434294288
265,888,skew_aY_chest(s),0.070846366156478588
266,872,std_gX_hand(s),0.070070648632300239
267,396,derivative_2_std_aY_chest,0.070063998562891236
268,923,crestfactor_aX_chest(s),0.069987599805440226
269,930,corr_haX_haZ(s),0.06992106315013967
270,896,mad_gX_hand(s),0.069422835988250858
271,84,std_aX_hand(t),0.06873189546396645
272,278,derivative_1_mad_gX_chest,0.068085145823453833
273,908,rms_gX_hand(s),0.06788845942621323
274,111,mad_gX_hand(t),0.067632765216784976
275,976,spectral_centroid_aX_chest,0.067553141264339409
276,630,derivative_4_q20_aY_hand,0.067487146374700546
277,342,derivative_2_q20_aY_hand,0.067387839514935682
278,1027,bin_70_aX_chest(t),0.067096793367234439
279,678,derivative_4_std_aY_hand,0.066981090697993656
280,245,derivative_1_std_aX_hand,0.066617846475001394
281,1029,bin_0_aY_chest(t),0.065896548179060419
282,276,derivative_1_mad_aY_chest,0.065887984964944774
283,290,derivative_1_rms_gX_chest,0.06542475155426912
284,622,derivative_4_q05_gZ_hand,0.064961331503860839
285,1024,bin_0_aX_chest(t),0.064953961828787737
286,386,derivative_2_kurtosis_gX_chest,0.064875568565101419
287,949,spectral_energy_gX_hand,0.064613062473422897
288,228,derivative_1_q95_aY_chest,0.064562543675907677
289,671,derivative_4_kurtosis_aX_chest,0.064437022490944226
290,1004,bin_0_aZ_hand(t),0.064433041392630966
291,216,derivative_1_q80_aY_chest,0.06395951924481097
292,40,q20_gY_hand(t),0.063696134956243655
293,288,derivative_1_rms_aY_chest,0.063542173022140727
294,956,spectral_energy_gY_chest,0.063245409158555907
295,915,rms_gY_chest(s),0.062682880488886372
296,118,mad_gY_chest(t),0.062536050000846902
297,685,derivative_4_std_aZ_chest,0.062450056702335575
298,408,derivative_2_skew_aY_chest,0.062406627855030615
299,419,derivative_2_mad_aX_chest,0.062312109449927232
300,292,derivative_1_rms_gZ_chest,0.061889044749175393
301,65,q95_gZ_hand(t),0.061662317764455014
302,958,spectral_entropy_aX_hand,0.061480940676959153
303,903,mad_gY_chest(s),0.06141988266016761
304,287,derivative_1_rms_aX_chest,0.061312438697041255
305,130,rms_gY_chest(t),0.061279261906762451
306,430,derivative_2_rms_gZ_hand,0.061279178640130508
307,486,derivative_3_q20_aY_hand,0.061232745705266947
308,28,q05_gY_hand(t),0.061122657356676831
309,790,mean_gZ_hand(s),0.060988130214896116
310,191,derivative_1_q05_aX_chest,0.06095099315644497
311,673,derivative_4_kurtosis_aZ_chest,0.060708504814367577
312,856,q95_gZ_chest(s),0.060664972315708061
313,354,derivative_2_q80_aY_hand,0.060637713540686783
314,344,derivative_2_q20_gX_hand,0.060471047594915318
315,252,derivative_1_std_aY_chest,0.060422818100022681
316,758,hand_roll_q95,0.060357797363684823
317,623,derivative_4_q05_aX_chest,0.05993333595056527
318,770,hand_roll_skew,0.059771241031717617
319,190,derivative_1_q05_gZ_hand,0.059738511073954767
320,791,mean_aX_chest(s),0.059718818647083394
321,945,sma_cg(s),0.059302861054235358
322,335,derivative_2_q05_aX_chest,0.05882240259691459
323,64,q95_gY_hand(t),0.058592512404759704
324,131,rms_gZ_chest(t),0.058560922344544721
325,931,corr_haY_haZ(s),0.058342507459868166
326,254,derivative_1_std_gX_chest,0.057934888522673055
327,781,hand_pitch_crestfactor,0.057906129421150761
328,270,derivative_1_mad_aY_hand,0.057371940606857137
329,394,derivative_2_std_gZ_hand,0.056352473139699773
330,769,hand_pitch_skew,0.056250942313807811
331,144,corr_haX_haY(t),0.056120514349134058
332,185,derivative_1_q05_aX_hand,0.056072357620880232
333,337,derivative_2_q05_aZ_chest,0.055875879618782279
334,116,mad_aZ_chest(t),0.055819971417827456
335,423,derivative_2_mad_gY_chest,0.05562474756733897
336,196,derivative_1_q05_gZ_chest,0.055356899127827854
337,959,spectral_entropy_aY_hand,0.055093656083489616
338,570,derivative_3_rms_aY_hand,0.054987514274446432
339,965,spectral_entropy_aY_chest,0.054884163516127897
340,714,derivative_4_rms_aY_hand,0.054862545013984874
341,415,derivative_2_mad_aZ_hand,0.054739760369213457
342,198,derivative_1_q20_aY_hand,0.054469728563742763
343,658,derivative_4_q95_gZ_hand,0.054026000782853606
344,383,derivative_2_kurtosis_aX_chest,0.053976340153754306
345,710,derivative_4_mad_gX_chest,0.053896558886045054
346,833,q80_aX_hand(s),0.053833504802893291
347,201,derivative_1_q20_gY_hand,0.053593786437480286
348,129,rms_gX_chest(t),0.053564583405681251
349,343,derivative_2_q20_aZ_hand,0.05356261738323051
350,528,derivative_3_kurtosis_aY_chest,0.053531753696811492
351,480,derivative_3_q05_aY_chest,0.053153857294013319
352,229,derivative_1_q95_aZ_chest,0.053061885801169634
353,414,derivative_2_mad_aY_hand,0.052635933906212171
354,432,derivative_2_rms_aY_chest,0.052319694769454611
355,527,derivative_3_kurtosis_aX_chest,0.052295299704428595
356,565,derivative_3_mad_aZ_chest,0.052217792692436926
357,702,derivative_4_mad_aY_hand,0.051740541877070702
358,426,derivative_2_rms_aY_hand,0.05151032213235731
359,654,derivative_4_q95_aY_hand,0.051406225462257781
360,70,q95_gY_chest(t),0.051062437268437663
361,27,q05_gX_hand(t),0.051047249950558232
362,779,chest_pitch_rms,0.050964396306243664
363,879,std_gY_chest(s),0.050839136793816929
364,251,derivative_1_std_aX_chest,0.050054876156996546
365,941,smv_cg(s),0.049742649409277417
366,420,derivative_2_mad_aY_chest,0.049566281524145127
367,373,derivative_2_q95_aZ_chest,0.04948921031996828
368,374,derivative_2_q95_gX_chest,0.049271377146191828
369,203,derivative_1_q20_aX_chest,0.049271251246142955
370,534,derivative_3_std_aY_hand,0.049258398484356328
371,642,derivative_4_q80_aY_hand,0.049066583834829348
372,209,derivative_1_q80_aX_hand,0.04892145330496548
373,768,chest_roll_std,0.048653923355303483
374,194,derivative_1_q05_gX_chest,0.048575191215706623
375,341,derivative_2_q20_aX_hand,0.048478705891348881
376,214,derivative_1_q80_gZ_hand,0.048062195841338654
377,275,derivative_1_mad_aX_chest,0.047890386346612718
378,134,crestfactor_aZ_hand(t),0.047777239979086721
379,990,principal_frequency_aZ_chest,0.047755208627154225
380,210,derivative_1_q80_aY_hand,0.047650193137077045
381,160,sma_cg(t),0.047638840146509792
382,156,smv_cg(t),0.047357556409985672
383,146,corr_haY_haZ(t),0.047308880885058843
384,353,derivative_2_q80_aX_hand,0.047257610873694018
385,514,derivative_3_q95_gZ_hand,0.047219251410253744
386,939,smv_hg(s),0.047058401254187629
387,500,derivative_3_q80_gX_hand,0.04704317232820427
388,90,std_aX_chest(t),0.047028808540037978
389,853,q95_aZ_chest(s),0.046823880580060678
390,474,derivative_3_q05_aY_hand,0.046796912912904241
391,280,derivative_1_mad_gZ_chest,0.046791707034286839
392,222,derivative_1_q95_aY_hand,0.046687920396325501
393,109,mad_aY_hand(t),0.046494377288508047
394,385,derivative_2_kurtosis_aZ_chest,0.046400860953542802
395,709,derivative_4_mad_aZ_chest,0.046008055416895628
396,863,kurtosis_aX_chest(s),0.045905431988086921
397,1019,bin_0_gZ_hand(t),0.045529773926675537
398,103,skew_aY_chest(t),0.045518178732919544
399,206,derivative_1_q20_gX_chest,0.045503894544894015
400,390,derivative_2_std_aY_hand,0.045500774374782497
401,425,derivative_2_rms_aX_hand,0.04535354097259725
402,217,derivative_1_q80_aZ_chest,0.045294598285640975
403,119,mad_gZ_chest(t),0.045275033008847498
404,510,derivative_3_q95_aY_hand,0.04525594376396485
405,936,corr_haY_caY(s),0.045078527199983211
