index,feature,feature name,importance
1,149,corr_caY_caZ(t),1.0
2,153,smv_ha(t),0.98913
3,56,q80_aZ_chest(t),0.951087
4,1,mean_aY_hand(t),0.92663
5,68,q95_aZ_chest(t),0.921196
6,776,chest_roll_mad,0.86413
7,140,crestfactor_aZ_chest(t),0.845109
8,774,hand_roll_mad,0.842391
9,775,chest_pitch_mad,0.793478
10,0,mean_aX_hand(t),0.782609
11,13,median_aY_hand(t),0.777174
12,157,sma_ha(t),0.769022
13,752,chest_roll_q20,0.75
14,6,mean_aX_chest(t),0.747283
15,750,hand_roll_q20,0.744565
16,14,median_aZ_hand(t),0.733696
17,738,hand_roll_mean,0.725543
18,1006,bin_30_aZ_hand(t),0.701087
19,777,hand_pitch_rms,0.701087
20,38,q20_aZ_hand(t),0.682065
21,12,median_aX_hand(t),0.67663
22,1031,bin_30_aY_chest(t),0.671196
23,773,hand_pitch_mad,0.654891
24,740,chest_roll_mean,0.633152
25,25,q05_aY_hand(t),0.630435
26,31,q05_aY_chest(t),0.630435
27,144,corr_haX_haY(t),0.627717
28,26,q05_aZ_hand(t),0.625
29,32,q05_aZ_chest(t),0.625
30,8,mean_aZ_chest(t),0.619565
31,739,chest_pitch_mean,0.61413
32,996,bin_30_aX_hand(t),0.61413
33,50,q80_aZ_hand(t),0.597826
34,741,hand_pitch_median,0.576087
35,48,q80_aX_hand(t),0.567935
36,49,q80_aY_hand(t),0.5625
37,42,q20_aX_chest(t),0.55163
38,20,median_aZ_chest(t),0.548913
39,24,q05_aX_hand(t),0.543478
40,61,q95_aY_hand(t),0.538043
41,67,q95_aY_chest(t),0.532609
42,71,q95_gZ_chest(t),0.532609
43,742,hand_roll_median,0.529891
44,36,q20_aX_hand(t),0.521739
45,55,q80_aY_chest(t),0.521739
46,37,q20_aY_hand(t),0.516304
47,43,q20_aY_chest(t),0.508152
48,1030,bin_10_aY_chest(t),0.505435
49,138,crestfactor_aX_chest(t),0.5
50,784,chest_roll_crestfactor,0.497283
51,2,mean_aZ_hand(t),0.494565
52,753,hand_pitch_q80,0.486413
53,122,rms_aZ_hand(t),0.478261
54,19,median_aY_chest(t),0.472826
55,62,q95_aZ_hand(t),0.467391
56,30,q05_aX_chest(t),0.461957
57,763,chest_pitch_kurtosis,0.451087
58,145,corr_haX_haZ(t),0.445652
59,749,hand_pitch_q20,0.442935
60,1001,bin_30_aY_hand(t),0.442935
61,778,hand_roll_rms,0.434783
62,18,median_aX_chest(t),0.432065
63,630,derivative_4_q20_aY_hand,0.432065
64,759,chest_pitch_q95,0.429348
65,146,corr_haY_haZ(t),0.429348
66,839,q80_aX_chest(s),0.423913
67,737,hand_pitch_mean,0.423913
68,1035,bin_10_aZ_chest(t),0.421196
69,155,smv_ca(t),0.415761
70,66,q95_aX_chest(t),0.413043
71,1008,bin_90_aZ_hand(t),0.410326
72,751,chest_pitch_q20,0.410326
73,29,q05_gZ_hand(t),0.410326
74,747,chest_pitch_q05,0.404891
75,150,corr_haX_caX(t),0.402174
76,264,derivative_1_skew_aY_chest,0.399457
77,60,q95_aX_hand(t),0.399457
78,966,spectral_entropy_aZ_chest,0.391304
79,344,derivative_2_q20_gX_hand,0.388587
80,754,hand_roll_q80,0.38587
81,871,std_aZ_hand(s),0.38587
82,64,q95_gY_hand(t),0.383152
83,771,chest_pitch_skew,0.380435
84,128,rms_aZ_chest(t),0.380435
85,1037,bin_70_aZ_chest(t),0.377717
86,159,sma_ca(t),0.375
87,7,mean_aY_chest(t),0.375
88,869,std_aX_hand(s),0.375
89,126,rms_aX_chest(t),0.372283
90,765,hand_pitch_std,0.369565
91,1007,bin_70_aZ_hand(t),0.369565
92,764,chest_roll_kurtosis,0.366848
93,148,corr_caX_caZ(t),0.366848
94,54,q80_aX_chest(t),0.36413
95,895,mad_aZ_hand(s),0.358696
96,120,rms_aX_hand(t),0.358696
97,783,chest_pitch_crestfactor,0.355978
98,659,derivative_4_q95_aX_chest,0.355978
99,683,derivative_4_std_aX_chest,0.353261
100,772,chest_roll_skew,0.345109
101,762,hand_roll_kurtosis,0.345109
102,1027,bin_70_aX_chest(t),0.342391
103,63,q95_gX_hand(t),0.342391
104,147,corr_caX_caY(t),0.336957
105,1032,bin_70_aY_chest(t),0.326087
106,35,q05_gZ_chest(t),0.326087
107,266,derivative_1_skew_gX_chest,0.326087
108,28,q05_gY_hand(t),0.326087
109,654,derivative_4_q95_aY_hand,0.32337
110,44,q20_aZ_chest(t),0.317935
111,901,mad_aZ_chest(s),0.317935
112,870,std_aY_hand(s),0.317935
113,27,q05_gX_hand(t),0.317935
114,338,derivative_2_q05_gX_chest,0.317935
115,900,mad_aY_chest(s),0.315217
116,335,derivative_2_q05_aX_chest,0.307065
117,1036,bin_30_aZ_chest(t),0.304348
118,893,mad_aX_hand(s),0.30163
119,361,derivative_2_q80_aZ_chest,0.30163
120,384,derivative_2_kurtosis_aY_chest,0.298913
121,766,hand_roll_std,0.298913
122,833,q80_aX_hand(s),0.296196
123,651,derivative_4_q80_gY_chest,0.293478
124,375,derivative_2_q95_gY_chest,0.293478
125,1025,bin_10_aX_chest(t),0.293478
126,1005,bin_10_aZ_hand(t),0.290761
127,1026,bin_30_aX_chest(t),0.288043
128,978,spectral_centroid_aZ_chest,0.285326
129,70,q95_gY_chest(t),0.285326
130,151,corr_haY_caY(t),0.285326
131,641,derivative_4_q80_aX_hand,0.285326
132,373,derivative_2_q95_aZ_chest,0.282609
133,877,std_aZ_chest(s),0.279891
134,761,hand_pitch_kurtosis,0.277174
135,890,skew_gX_chest(s),0.274457
136,240,derivative_1_kurtosis_aY_chest,0.271739
137,856,q95_gZ_chest(s),0.271739
138,930,corr_haX_haZ(s),0.263587
139,483,derivative_3_q05_gY_chest,0.263587
140,121,rms_aY_hand(t),0.263587
141,495,derivative_3_q20_gY_chest,0.258152
142,507,derivative_3_q80_gY_chest,0.258152
143,41,q20_gZ_hand(t),0.255435
144,875,std_aX_chest(s),0.255435
145,892,skew_gZ_chest(s),0.255435
146,34,q05_gY_chest(t),0.255435
147,356,derivative_2_q80_gX_hand,0.255435
148,371,derivative_2_q95_aX_chest,0.252717
149,1012,bin_70_gX_hand(t),0.25
150,347,derivative_2_q20_aX_chest,0.25
151,370,derivative_2_q95_gZ_hand,0.247283
152,964,spectral_entropy_aX_chest,0.247283
153,1022,bin_70_gZ_hand(t),0.247283
154,660,derivative_4_q95_aY_chest,0.247283
155,350,derivative_2_q20_gX_chest,0.244565
156,65,q95_gZ_hand(t),0.241848
157,760,chest_roll_q95,0.241848
158,1002,bin_70_aY_hand(t),0.241848
159,317,derivative_2_median_aX_hand,0.241848
160,1017,bin_70_gY_hand(t),0.241848
161,334,derivative_2_q05_gZ_hand,0.23913
162,193,derivative_1_q05_aZ_chest,0.23913
163,552,derivative_3_skew_aY_chest,0.23913
164,899,mad_aX_chest(s),0.236413
165,226,derivative_1_q95_gZ_hand,0.233696
166,46,q20_gY_chest(t),0.233696
167,629,derivative_4_q20_aX_hand,0.233696
168,383,derivative_2_kurtosis_aX_chest,0.233696
169,687,derivative_4_std_gY_chest,0.230978
170,53,q80_gZ_hand(t),0.230978
171,218,derivative_1_q80_gX_chest,0.230978
172,937,corr_haZ_caZ(s),0.230978
173,959,spectral_entropy_aY_hand,0.228261
174,684,derivative_4_std_aY_chest,0.228261
175,217,derivative_1_q80_aZ_chest,0.225543
176,40,q20_gY_hand(t),0.225543
177,627,derivative_4_q05_gY_chest,0.225543
178,995,bin_10_aX_hand(t),0.222826
179,398,derivative_2_std_gX_chest,0.222826
180,528,derivative_3_kurtosis_aY_chest,0.222826
