num_features,auc_mean,auc_std
1,0.76219747949583172,0.011214464917945732
51,0.97168548615520578,0.0049728093333617626
101,0.97740928632101665,0.0045707184160771793
151,0.97916349927769875,0.0051012641618442735
201,0.97961817215037672,0.0046019006887780467
251,0.97897713390507002,0.0044084056544967795
301,0.97967934121876699,0.004351940419945092
351,0.98004425387841587,0.0039589232709181391
401,0.97925145904411814,0.0048267483090710236
451,0.97999591128061403,0.0042273399321136398
