index,feature,feature name,importance
1,1,mean_aY_hand(t),1.0
2,13,median_aY_hand(t),0.846154
3,776,chest_roll_mad,0.615385
4,38,q20_aZ_hand(t),0.557692
5,777,hand_pitch_rms,0.557692
6,14,median_aZ_hand(t),0.538462
7,153,smv_ha(t),0.5
8,20,median_aZ_chest(t),0.480769
9,56,q80_aZ_chest(t),0.480769
10,8,mean_aZ_chest(t),0.480769
11,32,q05_aZ_chest(t),0.442308
12,774,hand_roll_mad,0.442308
13,966,spectral_entropy_aZ_chest,0.423077
14,43,q20_aY_chest(t),0.423077
15,0,mean_aX_hand(t),0.403846
16,7,mean_aY_chest(t),0.403846
17,48,q80_aX_hand(t),0.403846
18,49,q80_aY_hand(t),0.403846
19,784,chest_roll_crestfactor,0.384615
20,737,hand_pitch_mean,0.384615
21,871,std_aZ_hand(s),0.365385
22,68,q95_aZ_chest(t),0.365385
23,61,q95_aY_hand(t),0.365385
24,773,hand_pitch_mad,0.365385
25,6,mean_aX_chest(t),0.346154
26,12,median_aX_hand(t),0.346154
27,750,hand_roll_q20,0.326923
28,740,chest_roll_mean,0.326923
29,738,hand_roll_mean,0.326923
30,778,hand_roll_rms,0.326923
31,24,q05_aX_hand(t),0.326923
32,877,std_aZ_chest(s),0.307692
33,157,sma_ha(t),0.307692
34,752,chest_roll_q20,0.307692
35,37,q20_aY_hand(t),0.288462
36,741,hand_pitch_median,0.288462
37,683,derivative_4_std_aX_chest,0.288462
38,759,chest_pitch_q95,0.288462
39,26,q05_aZ_hand(t),0.288462
40,742,hand_roll_median,0.269231
41,144,corr_haX_haY(t),0.269231
42,775,chest_pitch_mad,0.269231
43,149,corr_caY_caZ(t),0.269231
44,2,mean_aZ_hand(t),0.269231
45,19,median_aY_chest(t),0.230769
46,18,median_aX_chest(t),0.230769
47,384,derivative_2_kurtosis_aY_chest,0.230769
48,739,chest_pitch_mean,0.230769
49,155,smv_ca(t),0.230769
50,122,rms_aZ_hand(t),0.230769
51,687,derivative_4_std_gY_chest,0.230769
52,833,q80_aX_hand(s),0.230769
53,79,kurtosis_aY_chest(t),0.230769
54,783,chest_pitch_crestfactor,0.230769
55,36,q20_aX_hand(t),0.211538
56,55,q80_aY_chest(t),0.211538
57,870,std_aY_hand(s),0.211538
58,62,q95_aZ_hand(t),0.211538
59,50,q80_aZ_hand(t),0.211538
60,869,std_aX_hand(s),0.192308
61,31,q05_aY_chest(t),0.192308
62,359,derivative_2_q80_aX_chest,0.173077
63,140,crestfactor_aZ_chest(t),0.173077
64,751,chest_pitch_q20,0.173077
65,747,chest_pitch_q05,0.173077
66,370,derivative_2_q95_gZ_hand,0.173077
67,630,derivative_4_q20_aY_hand,0.173077
68,780,chest_roll_rms,0.173077
69,624,derivative_4_q05_aY_chest,0.173077
70,893,mad_aX_hand(s),0.173077
71,25,q05_aY_hand(t),0.173077
72,684,derivative_4_std_aY_chest,0.173077
73,67,q95_aY_chest(t),0.173077
74,764,chest_roll_kurtosis,0.153846
75,542,derivative_3_std_gX_chest,0.153846
76,159,sma_ca(t),0.153846
77,855,q95_gY_chest(s),0.153846
78,659,derivative_4_q95_aX_chest,0.153846
79,121,rms_aY_hand(t),0.153846
80,126,rms_aX_chest(t),0.153846
81,763,chest_pitch_kurtosis,0.134615
82,528,derivative_3_kurtosis_aY_chest,0.134615
83,42,q20_aX_chest(t),0.134615
84,754,hand_roll_q80,0.134615
85,642,derivative_4_q80_aY_hand,0.134615
86,543,derivative_3_std_gY_chest,0.134615
87,120,rms_aX_hand(t),0.134615
88,960,spectral_entropy_aZ_hand,0.134615
89,913,rms_aZ_chest(s),0.134615
90,72,kurtosis_aX_hand(t),0.134615
91,127,rms_aY_chest(t),0.134615
92,344,derivative_2_q20_gX_hand,0.134615
93,60,q95_aX_hand(t),0.134615
94,890,skew_gX_chest(s),0.134615
95,274,derivative_1_mad_gZ_hand,0.134615
96,782,hand_roll_crestfactor,0.134615
97,128,rms_aZ_chest(t),0.134615
98,123,rms_gX_hand(t),0.115385
99,41,q20_gZ_hand(t),0.115385
100,768,chest_roll_std,0.115385
101,787,mean_aZ_hand(s),0.115385
102,423,derivative_2_mad_gY_chest,0.115385
103,397,derivative_2_std_aZ_chest,0.115385
104,395,derivative_2_std_aX_chest,0.115385
105,905,rms_aX_hand(s),0.115385
106,901,mad_aZ_chest(s),0.115385
107,347,derivative_2_q20_aX_chest,0.115385
108,897,mad_gY_hand(s),0.115385
109,839,q80_aX_chest(s),0.115385
110,334,derivative_2_q05_gZ_hand,0.115385
111,286,derivative_1_rms_gZ_hand,0.115385
112,291,derivative_1_rms_gY_chest,0.115385
113,760,chest_roll_q95,0.115385
114,115,mad_aY_chest(t),0.115385
115,875,std_aX_chest(s),0.115385
116,566,derivative_3_mad_gX_chest,0.115385
117,558,derivative_3_mad_aY_hand,0.115385
118,964,spectral_entropy_aX_chest,0.115385
119,978,spectral_centroid_aZ_chest,0.115385
120,723,derivative_4_rms_gY_chest,0.115385
121,686,derivative_4_std_gX_chest,0.115385
122,859,kurtosis_aZ_hand(s),0.0961539
123,329,derivative_2_q05_aX_hand,0.0961539
124,254,derivative_1_std_gX_chest,0.0961539
125,907,rms_aZ_hand(s),0.0961539
126,193,derivative_1_q05_aZ_chest,0.0961539
127,253,derivative_1_std_aZ_chest,0.0961539
128,963,spectral_entropy_gZ_hand,0.0961539
129,753,hand_pitch_q80,0.0961539
130,919,crestfactor_aZ_hand(s),0.0961539
131,54,q80_aX_chest(t),0.0961539
132,317,derivative_2_median_aX_hand,0.0961539
133,133,crestfactor_aY_hand(t),0.0961539
134,151,corr_haY_caY(t),0.0961539
135,158,sma_hg(t),0.0961539
136,719,derivative_4_rms_aX_chest,0.0961539
137,27,q05_gX_hand(t),0.0961539
138,108,mad_aX_hand(t),0.0961539
139,762,hand_roll_kurtosis,0.0961539
140,419,derivative_2_mad_aX_chest,0.0961539
141,654,derivative_4_q95_aY_hand,0.0961539
142,872,std_gX_hand(s),0.0961539
143,578,derivative_3_rms_gX_chest,0.0961539
144,430,derivative_2_rms_gZ_hand,0.0961539
145,250,derivative_1_std_gZ_hand,0.0961539
146,931,corr_haY_haZ(s),0.0769231
147,769,hand_pitch_skew,0.0769231
148,702,derivative_4_mad_aY_hand,0.0769231
149,771,chest_pitch_skew,0.0769231
150,265,derivative_1_skew_aZ_chest,0.0769231
151,371,derivative_2_q95_aX_chest,0.0769231
152,925,crestfactor_aZ_chest(s),0.0769231
153,720,derivative_4_rms_aY_chest,0.0769231
154,408,derivative_2_skew_aY_chest,0.0769231
155,912,rms_aY_chest(s),0.0769231
156,435,derivative_2_rms_gY_chest,0.0769231
157,398,derivative_2_std_gX_chest,0.0769231
158,74,kurtosis_aZ_hand(t),0.0769231
159,900,mad_aY_chest(s),0.0769231
160,202,derivative_1_q20_gZ_hand,0.0769231
161,389,derivative_2_std_aX_hand,0.0769231
162,383,derivative_2_kurtosis_aX_chest,0.0769231
163,238,derivative_1_kurtosis_gZ_hand,0.0769231
164,346,derivative_2_q20_gZ_hand,0.0769231
165,923,crestfactor_aX_chest(s),0.0769231
166,835,q80_aZ_hand(s),0.0769231
167,394,derivative_2_std_gZ_hand,0.0769231
168,577,derivative_3_rms_aZ_chest,0.0769231
169,422,derivative_2_mad_gX_chest,0.0769231
170,766,hand_roll_std,0.0769231
171,44,q20_aZ_chest(t),0.0769231
172,111,mad_gX_hand(t),0.0769231
173,104,skew_aZ_chest(t),0.0769231
174,958,spectral_entropy_aX_hand,0.0769231
175,866,kurtosis_gX_chest(s),0.0769231
176,135,crestfactor_gX_hand(t),0.0769231
177,948,spectral_energy_aZ_hand,0.0769231
178,857,kurtosis_aX_hand(s),0.0769231
179,138,crestfactor_aX_chest(t),0.0769231
180,275,derivative_1_mad_aX_chest,0.0769231
181,481,derivative_3_q05_aZ_chest,0.0769231
182,478,derivative_3_q05_gZ_hand,0.0769231
183,514,derivative_3_q95_gZ_hand,0.0769231
184,148,corr_caX_caZ(t),0.0769231
185,972,spectral_centroid_aZ_hand,0.0769231
186,761,hand_pitch_kurtosis,0.0769231
187,943,sma_hg(s),0.0769231
188,30,q05_aX_chest(t),0.0769231
189,214,derivative_1_q80_gZ_hand,0.0576923
190,895,mad_aZ_hand(s),0.0576923
191,874,std_gZ_hand(s),0.0576923
192,40,q20_gY_hand(t),0.0576923
193,290,derivative_1_rms_gX_chest,0.0576923
194,678,derivative_4_std_aY_hand,0.0576923
195,883,skew_aZ_hand(s),0.0576923
196,52,q80_gY_hand(t),0.0576923
197,672,derivative_4_kurtosis_aY_chest,0.0576923
198,269,derivative_1_mad_aX_hand,0.0576923
199,711,derivative_4_mad_gY_chest,0.0576923
200,899,mad_aX_chest(s),0.0576923
201,856,q95_gZ_chest(s),0.0576923
202,373,derivative_2_q95_aZ_chest,0.0576923
203,279,derivative_1_mad_gY_chest,0.0576923
204,70,q95_gY_chest(t),0.0576923
205,342,derivative_2_q20_aY_hand,0.0576923
206,278,derivative_1_mad_gX_chest,0.0576923
207,277,derivative_1_mad_aZ_chest,0.0576923
208,888,skew_aY_chest(s),0.0576923
209,361,derivative_2_q80_aZ_chest,0.0576923
210,618,derivative_4_q05_aY_hand,0.0576923
211,563,derivative_3_mad_aX_chest,0.0576923
212,53,q80_gZ_hand(t),0.0576923
213,836,q80_gX_hand(s),0.0576923
214,113,mad_gZ_hand(t),0.0576923
215,206,derivative_1_q20_gX_chest,0.0576923
216,88,std_gY_hand(t),0.0576923
217,924,crestfactor_aY_chest(s),0.0576923
218,533,derivative_3_std_aX_hand,0.0576923
219,772,chest_roll_skew,0.0576923
220,930,corr_haX_haZ(s),0.0576923
221,935,corr_haX_caX(s),0.0576923
222,936,corr_haY_caY(s),0.0576923
223,967,spectral_entropy_gX_chest,0.0576923
224,965,spectral_entropy_aY_chest,0.0576923
225,944,sma_ca(s),0.0576923
226,94,std_gY_chest(t),0.0576923
227,527,derivative_3_kurtosis_aX_chest,0.0576923
228,152,corr_haZ_caZ(t),0.0576923
229,922,crestfactor_gZ_hand(s),0.0576923
230,150,corr_haX_caX(t),0.0576923
231,145,corr_haX_haZ(t),0.0576923
232,623,derivative_4_q05_aX_chest,0.0576923
233,139,crestfactor_aY_chest(t),0.0576923
234,959,spectral_entropy_aY_hand,0.0576923
235,749,hand_pitch_q20,0.0576923
236,748,chest_roll_q05,0.0576923
237,952,spectral_energy_aX_chest,0.0576923
238,124,rms_gY_hand(t),0.0576923
239,743,chest_pitch_median,0.0576923
240,953,spectral_energy_aY_chest,0.0576923
241,118,mad_gY_chest(t),0.0576923
242,497,derivative_3_q80_aX_hand,0.0576923
243,876,std_aY_chest(s),0.0576923
244,539,derivative_3_std_aX_chest,0.0576923
245,934,corr_caY_caZ(s),0.0576923
246,194,derivative_1_q05_gX_chest,0.0576923
247,971,spectral_centroid_aY_hand,0.0576923
248,793,mean_aZ_chest(s),0.0576923
249,81,kurtosis_gX_chest(t),0.0576923
250,641,derivative_4_q80_aX_hand,0.0576923
