index,feature,feature name,importance
1,0,mean_aX_hand(t),1.0
2,1,mean_aY_hand(t),0.956217
3,6,mean_aX_chest(t),0.914186
4,149,corr_caY_caZ(t),0.889667
5,68,q95_aZ_chest(t),0.831123
6,776,chest_roll_mad,0.805854
7,153,smv_ha(t),0.791093
8,56,q80_aZ_chest(t),0.782587
9,775,chest_pitch_mad,0.779084
10,8,mean_aZ_chest(t),0.770078
11,14,median_aZ_hand(t),0.738554
12,773,hand_pitch_mad,0.703027
13,774,hand_roll_mad,0.702777
14,2,mean_aZ_hand(t),0.695522
15,752,chest_roll_q20,0.675757
16,777,hand_pitch_rms,0.672504
17,32,q05_aZ_chest(t),0.668251
18,25,q05_aY_hand(t),0.654491
19,12,median_aX_hand(t),0.654491
20,996,bin_30_aX_hand(t),0.642482
21,50,q80_aZ_hand(t),0.64023
22,750,hand_roll_q20,0.637728
23,1006,bin_30_aZ_hand(t),0.630723
24,31,q05_aY_chest(t),0.625719
25,140,crestfactor_aZ_chest(t),0.625469
26,157,sma_ha(t),0.624969
27,49,q80_aY_hand(t),0.618464
28,38,q20_aZ_hand(t),0.616713
29,13,median_aY_hand(t),0.596197
30,739,chest_pitch_mean,0.592945
31,738,hand_roll_mean,0.58694
32,740,chest_roll_mean,0.578934
33,26,q05_aZ_hand(t),0.577433
34,1031,bin_30_aY_chest(t),0.55992
35,24,q05_aX_hand(t),0.542657
36,37,q20_aY_hand(t),0.534401
37,36,q20_aX_hand(t),0.518389
38,48,q80_aX_hand(t),0.516638
39,7,mean_aY_chest(t),0.516137
40,18,median_aX_chest(t),0.514886
41,43,q20_aY_chest(t),0.503377
42,62,q95_aZ_hand(t),0.502127
43,42,q20_aX_chest(t),0.501126
44,20,median_aZ_chest(t),0.494371
45,1030,bin_10_aY_chest(t),0.490118
46,19,median_aY_chest(t),0.488116
47,144,corr_haX_haY(t),0.484864
48,145,corr_haX_haZ(t),0.474106
49,749,hand_pitch_q20,0.465599
50,778,hand_roll_rms,0.465099
51,67,q95_aY_chest(t),0.460595
52,1001,bin_30_aY_hand(t),0.459845
53,30,q05_aX_chest(t),0.459345
54,60,q95_aX_hand(t),0.458844
55,1035,bin_10_aZ_chest(t),0.457343
56,55,q80_aY_chest(t),0.446335
57,54,q80_aX_chest(t),0.445584
58,29,q05_gZ_hand(t),0.444083
59,753,hand_pitch_q80,0.444083
60,61,q95_aY_hand(t),0.432324
61,741,hand_pitch_median,0.416312
62,122,rms_aZ_hand(t),0.410308
63,759,chest_pitch_q95,0.408306
64,784,chest_roll_crestfactor,0.398549
65,66,q95_aX_chest(t),0.394046
66,737,hand_pitch_mean,0.393795
67,742,hand_roll_median,0.390043
68,683,derivative_4_std_aX_chest,0.388291
69,146,corr_haY_haZ(t),0.38704
70,871,std_aZ_hand(s),0.381036
71,763,chest_pitch_kurtosis,0.380786
72,966,spectral_entropy_aZ_chest,0.379535
73,754,hand_roll_q80,0.370778
74,148,corr_caX_caZ(t),0.365774
75,751,chest_pitch_q20,0.363022
76,1007,bin_70_aZ_hand(t),0.361021
77,120,rms_aX_hand(t),0.35977
78,1032,bin_70_aY_chest(t),0.358769
79,28,q05_gY_hand(t),0.355517
80,138,crestfactor_aX_chest(t),0.351764
81,155,smv_ca(t),0.351263
82,1008,bin_90_aZ_hand(t),0.351013
83,126,rms_aX_chest(t),0.350763
84,1002,bin_70_aY_hand(t),0.34626
85,152,corr_haZ_caZ(t),0.338504
86,27,q05_gX_hand(t),0.337753
87,771,chest_pitch_skew,0.334501
88,71,q95_gZ_chest(t),0.33325
89,151,corr_haY_caY(t),0.332499
90,159,sma_ca(t),0.329747
91,783,chest_pitch_crestfactor,0.328997
92,147,corr_caX_caY(t),0.328747
93,264,derivative_1_skew_aY_chest,0.322242
94,266,derivative_1_skew_gX_chest,0.320741
95,893,mad_aX_hand(s),0.315487
96,764,chest_roll_kurtosis,0.304729
97,760,chest_roll_q95,0.303227
98,41,q20_gZ_hand(t),0.302227
99,839,q80_aX_chest(s),0.301976
100,900,mad_aY_chest(s),0.297973
101,44,q20_aZ_chest(t),0.297723
102,128,rms_aZ_chest(t),0.295972
103,901,mad_aZ_chest(s),0.29397
104,761,hand_pitch_kurtosis,0.292469
105,772,chest_roll_skew,0.292219
106,869,std_aX_hand(s),0.288216
107,132,crestfactor_aX_hand(t),0.287215
108,1025,bin_10_aX_chest(t),0.286465
109,762,hand_roll_kurtosis,0.285464
110,35,q05_gZ_chest(t),0.285214
111,34,q05_gY_chest(t),0.284714
112,64,q95_gY_hand(t),0.284714
113,895,mad_aZ_hand(s),0.282462
114,150,corr_haX_caX(t),0.278959
115,766,hand_roll_std,0.278709
116,747,chest_pitch_q05,0.278459
117,1026,bin_30_aX_chest(t),0.273955
118,1037,bin_70_aZ_chest(t),0.273205
119,765,hand_pitch_std,0.273205
120,408,derivative_2_skew_aY_chest,0.271704
121,930,corr_haX_haZ(s),0.270203
122,630,derivative_4_q20_aY_hand,0.268451
123,877,std_aZ_chest(s),0.268201
124,33,q05_gX_chest(t),0.268201
125,63,q95_gX_hand(t),0.26645
126,384,derivative_2_kurtosis_aY_chest,0.260696
127,65,q95_gZ_hand(t),0.256192
128,79,kurtosis_aY_chest(t),0.255692
129,870,std_aY_hand(s),0.254941
130,265,derivative_1_skew_aZ_chest,0.25394
131,70,q95_gY_chest(t),0.25269
132,1022,bin_70_gZ_hand(t),0.250438
133,684,derivative_4_std_aY_chest,0.249937
134,875,std_aX_chest(s),0.248436
135,383,derivative_2_kurtosis_aX_chest,0.246435
136,133,crestfactor_aY_hand(t),0.245684
137,344,derivative_2_q20_gX_hand,0.243182
138,781,hand_pitch_crestfactor,0.241181
139,1005,bin_10_aZ_hand(t),0.24043
140,121,rms_aY_hand(t),0.23943
141,1036,bin_30_aZ_chest(t),0.238679
142,978,spectral_centroid_aZ_chest,0.237928
143,373,derivative_2_q95_aZ_chest,0.235927
144,964,spectral_entropy_aX_chest,0.235176
145,1027,bin_70_aX_chest(t),0.230423
146,40,q20_gY_hand(t),0.223167
147,398,derivative_2_std_gX_chest,0.221166
148,46,q20_gY_chest(t),0.220415
149,960,spectral_entropy_aZ_hand,0.218164
150,1017,bin_70_gY_hand(t),0.215412
151,394,derivative_2_std_gZ_hand,0.215161
152,890,skew_gX_chest(s),0.214411
153,833,q80_aX_hand(s),0.21366
154,370,derivative_2_q95_gZ_hand,0.211158
155,240,derivative_1_kurtosis_aY_chest,0.209907
156,338,derivative_2_q05_gX_chest,0.209657
157,659,derivative_4_q95_aX_chest,0.209657
158,995,bin_10_aX_hand(t),0.208656
159,745,hand_pitch_q05,0.207656
160,335,derivative_2_q05_aX_chest,0.207406
161,934,corr_caY_caZ(s),0.206905
162,53,q80_gZ_hand(t),0.205904
163,334,derivative_2_q05_gZ_hand,0.205404
164,81,kurtosis_gX_chest(t),0.204153
165,52,q80_gY_hand(t),0.203903
166,260,derivative_1_skew_gX_hand,0.201651
167,1000,bin_10_aY_hand(t),0.201651
168,218,derivative_1_q80_gX_chest,0.201401
169,139,crestfactor_aY_chest(t),0.199149
170,1003,bin_90_aY_hand(t),0.198649
171,757,hand_pitch_q95,0.198399
172,250,derivative_1_std_gZ_hand,0.198149
173,375,derivative_2_q95_gY_chest,0.197648
174,687,derivative_4_std_gY_chest,0.197398
175,1024,bin_0_aX_chest(t),0.196397
176,748,chest_roll_q05,0.196147
177,127,rms_aY_chest(t),0.196147
178,194,derivative_1_q05_gX_chest,0.195647
179,958,spectral_entropy_aX_hand,0.195397
180,180,derivative_1_median_aY_chest,0.195397
181,997,bin_70_aX_hand(t),0.192895
182,483,derivative_3_q05_gY_chest,0.191394
183,69,q95_gX_chest(t),0.191143
184,780,chest_roll_rms,0.191143
185,39,q20_gX_hand(t),0.190643
186,47,q20_gZ_chest(t),0.190393
187,660,derivative_4_q95_aY_chest,0.189892
188,937,corr_haZ_caZ(s),0.189892
189,10,mean_gY_chest(t),0.189642
190,959,spectral_entropy_aY_hand,0.187891
191,51,q80_gX_hand(t),0.187641
192,528,derivative_3_kurtosis_aY_chest,0.18714
193,397,derivative_2_std_aZ_chest,0.18639
194,1011,bin_30_gX_hand(t),0.185389
195,16,median_gY_hand(t),0.184638
196,257,derivative_1_skew_aX_hand,0.183137
197,892,skew_gZ_chest(s),0.182637
