index,feature,feature name,importance
1,1,mean_aY_hand(t),1.0
2,777,hand_pitch_rms,0.465753
3,13,median_aY_hand(t),0.465753
4,8,mean_aZ_chest(t),0.438356
5,776,chest_roll_mad,0.424658
6,153,smv_ha(t),0.410959
7,14,median_aZ_hand(t),0.39726
8,38,q20_aZ_hand(t),0.369863
9,32,q05_aZ_chest(t),0.356164
10,966,spectral_entropy_aZ_chest,0.328767
11,774,hand_roll_mad,0.328767
12,56,q80_aZ_chest(t),0.328767
13,37,q20_aY_hand(t),0.315069
14,0,mean_aX_hand(t),0.30137
15,68,q95_aZ_chest(t),0.30137
16,20,median_aZ_chest(t),0.30137
17,24,q05_aX_hand(t),0.287671
18,994,activity_id,0.287671
19,157,sma_ha(t),0.273973
20,877,std_aZ_chest(s),0.273973
21,43,q20_aY_chest(t),0.273973
22,2,mean_aZ_hand(t),0.260274
23,49,q80_aY_hand(t),0.260274
24,48,q80_aX_hand(t),0.246575
25,871,std_aZ_hand(s),0.246575
26,737,hand_pitch_mean,0.246575
27,6,mean_aX_chest(t),0.232877
28,740,chest_roll_mean,0.232877
29,738,hand_roll_mean,0.232877
30,783,chest_pitch_crestfactor,0.232877
31,773,hand_pitch_mad,0.232877
32,7,mean_aY_chest(t),0.219178
33,55,q80_aY_chest(t),0.219178
34,61,q95_aY_hand(t),0.219178
35,747,chest_pitch_q05,0.205479
36,36,q20_aX_hand(t),0.205479
37,750,hand_roll_q20,0.205479
38,784,chest_roll_crestfactor,0.205479
39,120,rms_aX_hand(t),0.205479
40,31,q05_aY_chest(t),0.191781
41,26,q05_aZ_hand(t),0.191781
42,778,hand_roll_rms,0.191781
43,642,derivative_4_q80_aY_hand,0.178082
44,759,chest_pitch_q95,0.178082
45,384,derivative_2_kurtosis_aY_chest,0.178082
46,741,hand_pitch_median,0.178082
47,742,hand_roll_median,0.178082
48,869,std_aX_hand(s),0.178082
49,19,median_aY_chest(t),0.178082
50,683,derivative_4_std_aX_chest,0.178082
51,140,crestfactor_aZ_chest(t),0.164384
52,749,hand_pitch_q20,0.164384
53,122,rms_aZ_hand(t),0.150685
54,128,rms_aZ_chest(t),0.150685
55,144,corr_haX_haY(t),0.150685
56,250,derivative_1_std_gZ_hand,0.150685
57,770,hand_roll_skew,0.150685
58,687,derivative_4_std_gY_chest,0.150685
59,684,derivative_4_std_aY_chest,0.150685
60,890,skew_gX_chest(s),0.150685
61,155,smv_ca(t),0.150685
62,50,q80_aZ_hand(t),0.136986
63,370,derivative_2_q95_gZ_hand,0.136986
64,419,derivative_2_mad_aX_chest,0.136986
65,782,hand_roll_crestfactor,0.136986
66,12,median_aX_hand(t),0.136986
67,833,q80_aX_hand(s),0.123288
68,752,chest_roll_q20,0.123288
69,397,derivative_2_std_aZ_chest,0.123288
70,753,hand_pitch_q80,0.123288
71,839,q80_aX_chest(s),0.123288
72,659,derivative_4_q95_aX_chest,0.123288
73,907,rms_aZ_hand(s),0.123288
74,893,mad_aX_hand(s),0.123288
75,765,hand_pitch_std,0.123288
76,149,corr_caY_caZ(t),0.123288
77,775,chest_pitch_mad,0.123288
78,159,sma_ca(t),0.123288
79,399,derivative_2_std_gY_chest,0.109589
80,761,hand_pitch_kurtosis,0.109589
81,739,chest_pitch_mean,0.109589
82,347,derivative_2_q20_aX_chest,0.109589
83,334,derivative_2_q05_gZ_hand,0.109589
84,723,derivative_4_rms_gY_chest,0.109589
85,654,derivative_4_q95_aY_hand,0.109589
86,18,median_aX_chest(t),0.109589
87,42,q20_aX_chest(t),0.109589
88,41,q20_gZ_hand(t),0.109589
89,66,q95_aX_chest(t),0.109589
90,60,q95_aX_hand(t),0.109589
91,964,spectral_entropy_aX_chest,0.109589
92,857,kurtosis_aX_hand(s),0.0958904
93,900,mad_aY_chest(s),0.0958904
94,870,std_aY_hand(s),0.0958904
95,481,derivative_3_q05_aZ_chest,0.0958904
96,418,derivative_2_mad_gZ_hand,0.0958904
97,760,chest_roll_q95,0.0958904
98,855,q95_gY_chest(s),0.0958904
99,383,derivative_2_kurtosis_aX_chest,0.0958904
100,79,kurtosis_aY_chest(t),0.0958904
101,154,smv_hg(t),0.0958904
102,127,rms_aY_chest(t),0.0958904
103,54,q80_aX_chest(t),0.0821918
104,719,derivative_4_rms_aX_chest,0.0821918
105,206,derivative_1_q20_gX_chest,0.0821918
106,751,chest_pitch_q20,0.0821918
107,630,derivative_4_q20_aY_hand,0.0821918
108,317,derivative_2_median_aX_hand,0.0821918
109,764,chest_roll_kurtosis,0.0821918
110,919,crestfactor_aZ_hand(s),0.0821918
111,528,derivative_3_kurtosis_aY_chest,0.0821918
112,434,derivative_2_rms_gX_chest,0.0821918
113,875,std_aX_chest(s),0.0821918
114,28,q05_gY_hand(t),0.0821918
115,62,q95_aZ_hand(t),0.0821918
116,398,derivative_2_std_gX_chest,0.0821918
117,25,q05_aY_hand(t),0.0821918
118,361,derivative_2_q80_aZ_chest,0.0821918
119,895,mad_aZ_hand(s),0.0821918
120,133,crestfactor_aY_hand(t),0.0821918
121,335,derivative_2_q05_aX_chest,0.0821918
122,566,derivative_3_mad_gX_chest,0.0821918
123,901,mad_aZ_chest(s),0.0821918
124,754,hand_roll_q80,0.0684932
125,210,derivative_1_q80_aY_hand,0.0684932
126,944,sma_ca(s),0.0684932
127,958,spectral_entropy_aX_hand,0.0684932
128,578,derivative_3_rms_gX_chest,0.0684932
129,541,derivative_3_std_aZ_chest,0.0684932
130,533,derivative_3_std_aX_hand,0.0684932
131,254,derivative_1_std_gX_chest,0.0684932
132,422,derivative_2_mad_gX_chest,0.0684932
133,275,derivative_1_mad_aX_chest,0.0684932
134,356,derivative_2_q80_gX_hand,0.0684932
135,344,derivative_2_q20_gX_hand,0.0684932
136,935,corr_haX_caX(s),0.0684932
137,138,crestfactor_aX_chest(t),0.0684932
138,722,derivative_4_rms_gX_chest,0.0684932
139,899,mad_aX_chest(s),0.0684932
140,905,rms_aX_hand(s),0.0684932
141,126,rms_aX_chest(t),0.0684932
142,872,std_gX_hand(s),0.0684932
143,866,kurtosis_gX_chest(s),0.0684932
144,672,derivative_4_kurtosis_aY_chest,0.0547945
145,425,derivative_2_rms_aX_hand,0.0547945
146,768,chest_roll_std,0.0547945
147,431,derivative_2_rms_aX_chest,0.0547945
148,433,derivative_2_rms_aZ_chest,0.0547945
149,763,chest_pitch_kurtosis,0.0547945
150,762,hand_roll_kurtosis,0.0547945
151,673,derivative_4_kurtosis_aZ_chest,0.0547945
152,624,derivative_4_q05_aY_chest,0.0547945
153,579,derivative_3_rms_gY_chest,0.0547945
154,124,rms_gY_hand(t),0.0547945
155,52,q80_gY_hand(t),0.0547945
156,194,derivative_1_q05_gX_chest,0.0547945
157,865,kurtosis_aZ_chest(s),0.0547945
158,558,derivative_3_mad_aY_hand,0.0547945
159,963,spectral_entropy_gZ_hand,0.0547945
160,478,derivative_3_q05_gZ_hand,0.0547945
161,132,crestfactor_aX_hand(t),0.0547945
162,269,derivative_1_mad_aX_hand,0.0547945
163,286,derivative_1_rms_gZ_hand,0.0547945
164,87,std_gX_hand(t),0.0547945
165,214,derivative_1_q80_gZ_hand,0.0547945
166,88,std_gY_hand(t),0.0547945
167,978,spectral_centroid_aZ_chest,0.0547945
168,350,derivative_2_q20_gX_chest,0.0547945
169,89,std_gZ_hand(t),0.0547945
170,359,derivative_2_q80_aX_chest,0.0547945
171,329,derivative_2_q05_aX_hand,0.0547945
172,67,q95_aY_chest(t),0.0547945
173,542,derivative_3_std_gX_chest,0.0547945
174,780,chest_roll_rms,0.0547945
175,702,derivative_4_mad_aY_hand,0.0547945
176,158,sma_hg(t),0.0547945
177,708,derivative_4_mad_aY_chest,0.0547945
178,152,corr_haZ_caZ(t),0.0547945
179,240,derivative_1_kurtosis_aY_chest,0.0410959
180,225,derivative_1_q95_gY_hand,0.0410959
181,862,kurtosis_gZ_hand(s),0.0410959
182,230,derivative_1_q95_gX_chest,0.0410959
183,222,derivative_1_q95_aY_hand,0.0410959
184,567,derivative_3_mad_gY_chest,0.0410959
185,666,derivative_4_kurtosis_aY_hand,0.0410959
186,660,derivative_4_q95_aY_chest,0.0410959
187,960,spectral_entropy_aZ_hand,0.0410959
188,788,mean_gX_hand(s),0.0410959
189,962,spectral_entropy_gY_hand,0.0410959
190,226,derivative_1_q95_gZ_hand,0.0410959
191,221,derivative_1_q95_aX_hand,0.0410959
192,245,derivative_1_std_aX_hand,0.0410959
193,342,derivative_2_q20_aY_hand,0.0410959
194,976,spectral_centroid_aX_chest,0.0410959
195,290,derivative_1_rms_gX_chest,0.0410959
196,371,derivative_2_q95_aX_chest,0.0410959
197,394,derivative_2_std_gZ_hand,0.0410959
198,279,derivative_1_mad_gY_chest,0.0410959
199,278,derivative_1_mad_gX_chest,0.0410959
200,94,std_gY_chest(t),0.0410959
201,881,skew_aX_hand(s),0.0410959
202,274,derivative_1_mad_gZ_hand,0.0410959
203,421,derivative_2_mad_aZ_chest,0.0410959
204,423,derivative_2_mad_gY_chest,0.0410959
205,430,derivative_2_rms_gZ_hand,0.0410959
206,495,derivative_3_q20_gY_chest,0.0410959
207,257,derivative_1_skew_aX_hand,0.0410959
208,498,derivative_3_q80_aY_hand,0.0410959
209,255,derivative_1_std_gY_chest,0.0410959
210,104,skew_aZ_chest(t),0.0410959
211,502,derivative_3_q80_gZ_hand,0.0410959
212,242,derivative_1_kurtosis_gX_chest,0.0410959
