index,feature,feature name,importance
1,0,mean_aX_hand(t),1.0
2,1,mean_aY_hand(t),0.913952
3,1054,activity_id,0.90102
4,6,mean_aX_chest(t),0.898781
5,775,chest_pitch_mad,0.82467
6,8,mean_aZ_chest(t),0.818453
7,68,q95_aZ_chest(t),0.815966
8,149,corr_caY_caZ(t),0.814225
9,776,chest_roll_mad,0.789356
10,153,smv_ha(t),0.777667
11,56,q80_aZ_chest(t),0.756777
12,14,median_aZ_hand(t),0.725939
13,773,hand_pitch_mad,0.670729
14,2,mean_aZ_hand(t),0.656304
15,996,bin_30_aX_hand(t),0.656056
16,777,hand_pitch_rms,0.655807
17,25,q05_aY_hand(t),0.652077
18,774,hand_roll_mad,0.651828
19,50,q80_aZ_hand(t),0.650584
20,750,hand_roll_q20,0.635165
21,49,q80_aY_hand(t),0.631435
22,752,chest_roll_q20,0.628451
23,12,median_aX_hand(t),0.621238
24,157,sma_ha(t),0.617508
25,31,q05_aY_chest(t),0.61527
26,13,median_aY_hand(t),0.613778
27,32,q05_aZ_chest(t),0.61328
28,38,q20_aZ_hand(t),0.601343
29,140,crestfactor_aZ_chest(t),0.59811
30,1006,bin_30_aZ_hand(t),0.586173
31,26,q05_aZ_hand(t),0.58468
32,740,chest_roll_mean,0.583686
33,738,hand_roll_mean,0.575727
34,739,chest_pitch_mean,0.553594
35,1031,bin_30_aY_chest(t),0.534693
36,24,q05_aX_hand(t),0.526486
37,37,q20_aY_hand(t),0.52375
38,7,mean_aY_chest(t),0.507834
39,62,q95_aZ_hand(t),0.507585
40,36,q20_aX_hand(t),0.503606
41,42,q20_aX_chest(t),0.503606
42,18,median_aX_chest(t),0.503606
43,19,median_aY_chest(t),0.500124
44,48,q80_aX_hand(t),0.49913
45,20,median_aZ_chest(t),0.497886
46,43,q20_aY_chest(t),0.480975
47,778,hand_roll_rms,0.471027
48,67,q95_aY_chest(t),0.471027
49,145,corr_haX_haZ(t),0.469286
50,54,q80_aX_chest(t),0.468291
51,60,q95_aX_hand(t),0.467545
52,1030,bin_10_aY_chest(t),0.45909
53,144,corr_haX_haY(t),0.455111
54,1001,bin_30_aY_hand(t),0.452872
55,1035,bin_10_aZ_chest(t),0.44765
56,749,hand_pitch_q20,0.445412
57,55,q80_aY_chest(t),0.444914
58,30,q05_aX_chest(t),0.444168
59,122,rms_aZ_hand(t),0.443422
60,29,q05_gZ_hand(t),0.435215
61,66,q95_aX_chest(t),0.430987
62,753,hand_pitch_q80,0.427008
63,61,q95_aY_hand(t),0.413579
64,741,hand_pitch_median,0.407113
65,742,hand_roll_median,0.40189
66,759,chest_pitch_q95,0.400149
67,871,std_aZ_hand(s),0.397414
68,683,derivative_4_std_aX_chest,0.396419
69,737,hand_pitch_mean,0.39617
70,784,chest_roll_crestfactor,0.380502
71,1007,bin_70_aZ_hand(t),0.380254
72,966,spectral_entropy_aZ_chest,0.374782
73,146,corr_haY_haZ(t),0.367322
74,138,crestfactor_aX_chest(t),0.362596
75,1032,bin_70_aY_chest(t),0.35613
76,120,rms_aX_hand(t),0.354887
77,126,rms_aX_chest(t),0.353643
78,1008,bin_90_aZ_hand(t),0.350908
79,751,chest_pitch_q20,0.347426
80,148,corr_caX_caZ(t),0.346929
81,155,smv_ca(t),0.346183
82,71,q95_gZ_chest(t),0.346183
83,754,hand_roll_q80,0.342452
84,159,sma_ca(t),0.342452
85,151,corr_haY_caY(t),0.340463
86,771,chest_pitch_skew,0.339468
87,763,chest_pitch_kurtosis,0.338722
88,28,q05_gY_hand(t),0.33325
89,27,q05_gX_hand(t),0.332256
90,1002,bin_70_aY_hand(t),0.331261
91,152,corr_haZ_caZ(t),0.3238
92,147,corr_caX_caY(t),0.320567
93,783,chest_pitch_crestfactor,0.319821
94,264,derivative_1_skew_aY_chest,0.318826
95,266,derivative_1_skew_gX_chest,0.312857
96,764,chest_roll_kurtosis,0.304402
97,128,rms_aZ_chest(t),0.300423
98,41,q20_gZ_hand(t),0.295449
99,869,std_aX_hand(s),0.293459
100,150,corr_haX_caX(t),0.293211
101,34,q05_gY_chest(t),0.289232
102,893,mad_aX_hand(s),0.287491
103,760,chest_roll_q95,0.287242
104,762,hand_roll_kurtosis,0.287242
105,761,hand_pitch_kurtosis,0.285999
106,930,corr_haX_haZ(s),0.285999
107,44,q20_aZ_chest(t),0.285252
108,839,q80_aX_chest(s),0.285252
109,1025,bin_10_aX_chest(t),0.283014
110,895,mad_aZ_hand(s),0.280776
111,630,derivative_4_q20_aY_hand,0.279284
112,64,q95_gY_hand(t),0.276797
113,747,chest_pitch_q05,0.276051
114,384,derivative_2_kurtosis_aY_chest,0.273315
115,900,mad_aY_chest(s),0.271823
116,33,q05_gX_chest(t),0.26859
117,132,crestfactor_aX_hand(t),0.268093
118,765,hand_pitch_std,0.266352
119,766,hand_roll_std,0.266103
120,772,chest_roll_skew,0.264362
121,870,std_aY_hand(s),0.264113
122,35,q05_gZ_chest(t),0.264113
123,344,derivative_2_q20_gX_hand,0.263367
124,1037,bin_70_aZ_chest(t),0.259388
125,408,derivative_2_skew_aY_chest,0.258393
126,901,mad_aZ_chest(s),0.256653
127,877,std_aZ_chest(s),0.255658
128,265,derivative_1_skew_aZ_chest,0.253668
129,1026,bin_30_aX_chest(t),0.248446
130,79,kurtosis_aY_chest(t),0.248197
131,65,q95_gZ_hand(t),0.245461
132,875,std_aX_chest(s),0.24372
133,133,crestfactor_aY_hand(t),0.243223
134,978,spectral_centroid_aZ_chest,0.241234
135,1027,bin_70_aX_chest(t),0.240985
136,383,derivative_2_kurtosis_aX_chest,0.240736
137,70,q95_gY_chest(t),0.23999
138,63,q95_gX_hand(t),0.236011
139,964,spectral_entropy_aX_chest,0.236011
140,684,derivative_4_std_aY_chest,0.230042
141,398,derivative_2_std_gX_chest,0.230042
142,121,rms_aY_hand(t),0.230042
143,46,q20_gY_chest(t),0.229794
144,1022,bin_70_gZ_hand(t),0.228799
145,1005,bin_10_aZ_hand(t),0.228301
146,781,hand_pitch_crestfactor,0.227307
147,1036,bin_30_aZ_chest(t),0.226561
148,373,derivative_2_q95_aZ_chest,0.226063
149,659,derivative_4_q95_aX_chest,0.215867
150,40,q20_gY_hand(t),0.215618
151,833,q80_aX_hand(s),0.212634
152,194,derivative_1_q05_gX_chest,0.212136
153,338,derivative_2_q05_gX_chest,0.210893
154,334,derivative_2_q05_gZ_hand,0.209898
155,960,spectral_entropy_aZ_hand,0.209649
156,335,derivative_2_q05_aX_chest,0.209152
157,995,bin_10_aX_hand(t),0.208406
158,1017,bin_70_gY_hand(t),0.205422
159,127,rms_aY_chest(t),0.204675
160,53,q80_gZ_hand(t),0.204178
161,139,crestfactor_aY_chest(t),0.203681
162,81,kurtosis_gX_chest(t),0.20194
163,934,corr_caY_caZ(s),0.201194
164,748,chest_roll_q05,0.201194
165,1000,bin_10_aY_hand(t),0.200448
166,370,derivative_2_q95_gZ_hand,0.198955
167,745,hand_pitch_q05,0.198707
168,1024,bin_0_aX_chest(t),0.195225
169,528,derivative_3_kurtosis_aY_chest,0.194728
170,890,skew_gX_chest(s),0.193484
171,1003,bin_90_aY_hand(t),0.193236
172,180,derivative_1_median_aY_chest,0.192987
173,240,derivative_1_kurtosis_aY_chest,0.191495
174,218,derivative_1_q80_gX_chest,0.191495
175,375,derivative_2_q95_gY_chest,0.190997
176,250,derivative_1_std_gZ_hand,0.1905
177,687,derivative_4_std_gY_chest,0.189754
178,394,derivative_2_std_gZ_hand,0.18851
179,997,bin_70_aX_hand(t),0.18851
180,780,chest_roll_rms,0.187516
