index,feature,feature name,importance
1,1,mean_aY_hand(t),1.0
2,153,smv_ha(t),0.995509
3,6,mean_aX_chest(t),0.914671
4,776,chest_roll_mad,0.814371
5,0,mean_aX_hand(t),0.813997
6,149,corr_caY_caZ(t),0.804641
7,68,q95_aZ_chest(t),0.777695
8,157,sma_ha(t),0.753368
9,8,mean_aZ_chest(t),0.731662
10,56,q80_aZ_chest(t),0.730539
11,773,hand_pitch_mad,0.730165
12,14,median_aZ_hand(t),0.719311
13,774,hand_roll_mad,0.717814
14,2,mean_aZ_hand(t),0.706961
15,777,hand_pitch_rms,0.685629
16,144,corr_haX_haY(t),0.675898
17,50,q80_aZ_hand(t),0.659057
18,775,chest_pitch_mad,0.647829
19,49,q80_aY_hand(t),0.643713
20,750,hand_roll_q20,0.641467
21,752,chest_roll_q20,0.609656
22,13,median_aY_hand(t),0.609281
23,32,q05_aZ_chest(t),0.605913
24,140,crestfactor_aZ_chest(t),0.601422
25,12,median_aX_hand(t),0.600674
26,25,q05_aY_hand(t),0.59768
27,38,q20_aZ_hand(t),0.581961
28,37,q20_aY_hand(t),0.579716
29,7,mean_aY_chest(t),0.566617
30,26,q05_aZ_hand(t),0.566243
31,36,q20_aX_hand(t),0.564745
32,740,chest_roll_mean,0.559132
33,738,hand_roll_mean,0.553892
34,784,chest_roll_crestfactor,0.543787
35,43,q20_aY_chest(t),0.535554
36,19,median_aY_chest(t),0.53518
37,122,rms_aZ_hand(t),0.533683
38,966,spectral_entropy_aZ_chest,0.527695
39,24,q05_aX_hand(t),0.513847
40,749,hand_pitch_q20,0.502994
41,61,q95_aY_hand(t),0.5
42,48,q80_aX_hand(t),0.497006
43,145,corr_haX_haZ(t),0.49476
44,778,hand_roll_rms,0.483159
45,31,q05_aY_chest(t),0.482036
46,62,q95_aZ_hand(t),0.474551
47,994,activity_id,0.474177
48,871,std_aZ_hand(s),0.470808
49,155,smv_ca(t),0.463323
50,18,median_aX_chest(t),0.453967
51,20,median_aZ_chest(t),0.453593
52,54,q80_aX_chest(t),0.452844
53,759,chest_pitch_q95,0.451347
54,42,q20_aX_chest(t),0.447231
55,737,hand_pitch_mean,0.420659
56,739,chest_pitch_mean,0.41729
57,148,corr_caX_caZ(t),0.409805
58,120,rms_aX_hand(t),0.409057
59,264,derivative_1_skew_aY_chest,0.406063
60,55,q80_aY_chest(t),0.405689
61,152,corr_haZ_caZ(t),0.400449
62,753,hand_pitch_q80,0.39521
63,147,corr_caX_caY(t),0.392964
64,151,corr_haY_caY(t),0.390344
65,146,corr_haY_haZ(t),0.38997
66,150,corr_haX_caX(t),0.383982
67,741,hand_pitch_median,0.379865
68,159,sma_ca(t),0.378368
69,67,q95_aY_chest(t),0.376871
70,839,q80_aX_chest(s),0.371632
71,771,chest_pitch_skew,0.369386
72,964,spectral_entropy_aX_chest,0.367515
73,877,std_aZ_chest(s),0.365269
74,60,q95_aX_hand(t),0.361901
75,126,rms_aX_chest(t),0.359281
76,783,chest_pitch_crestfactor,0.349177
77,30,q05_aX_chest(t),0.34768
78,742,hand_roll_median,0.345808
79,266,derivative_1_skew_gX_chest,0.344686
80,138,crestfactor_aX_chest(t),0.336078
81,41,q20_gZ_hand(t),0.330838
82,66,q95_aX_chest(t),0.325225
83,683,derivative_4_std_aX_chest,0.323728
84,128,rms_aZ_chest(t),0.321482
85,747,chest_pitch_q05,0.320359
86,895,mad_aZ_hand(s),0.31512
87,81,kurtosis_gX_chest(t),0.314371
88,870,std_aY_hand(s),0.313997
89,384,derivative_2_kurtosis_aY_chest,0.310254
90,930,corr_haX_haZ(s),0.305763
91,869,std_aX_hand(s),0.301272
92,978,spectral_centroid_aZ_chest,0.298653
93,967,spectral_entropy_gX_chest,0.298278
94,29,q05_gZ_hand(t),0.297904
95,751,chest_pitch_q20,0.296781
96,893,mad_aX_hand(s),0.29229
97,132,crestfactor_aX_hand(t),0.289296
98,754,hand_roll_q80,0.28256
99,103,skew_aY_chest(t),0.281063
100,932,corr_caX_caY(s),0.279192
101,833,q80_aX_hand(s),0.279192
102,760,chest_roll_q95,0.277695
103,761,hand_pitch_kurtosis,0.276572
104,27,q05_gX_hand(t),0.276572
105,105,skew_gX_chest(t),0.275823
106,79,kurtosis_aY_chest(t),0.275823
107,44,q20_aZ_chest(t),0.273204
108,772,chest_roll_skew,0.268713
109,121,rms_aY_hand(t),0.267216
110,931,corr_haY_haZ(s),0.266093
111,104,skew_aZ_chest(t),0.265719
112,72,kurtosis_aX_hand(t),0.264222
113,781,hand_pitch_crestfactor,0.263847
114,901,mad_aZ_chest(s),0.263473
115,659,derivative_4_q95_aX_chest,0.263473
116,687,derivative_4_std_gY_chest,0.263099
117,900,mad_aY_chest(s),0.262725
118,180,derivative_1_median_aY_chest,0.261228
119,265,derivative_1_skew_aZ_chest,0.260853
120,935,corr_haX_caX(s),0.258982
121,762,hand_roll_kurtosis,0.257859
122,99,skew_gX_hand(t),0.250374
123,890,skew_gX_chest(s),0.249626
124,28,q05_gY_hand(t),0.248129
125,769,hand_pitch_skew,0.247006
126,408,derivative_2_skew_aY_chest,0.246257
127,133,crestfactor_aY_hand(t),0.245135
128,398,derivative_2_std_gX_chest,0.245135
129,240,derivative_1_kurtosis_aY_chest,0.241018
130,765,hand_pitch_std,0.241018
131,764,chest_roll_kurtosis,0.236153
132,934,corr_caY_caZ(s),0.235404
133,875,std_aX_chest(s),0.232036
134,334,derivative_2_q05_gZ_hand,0.231662
135,80,kurtosis_aZ_chest(t),0.228293
136,71,q95_gZ_chest(t),0.226796
137,892,skew_gZ_chest(s),0.225674
138,53,q80_gZ_hand(t),0.224551
139,868,kurtosis_gZ_chest(s),0.223802
140,127,rms_aY_chest(t),0.222305
141,842,q80_gX_chest(s),0.221183
142,763,chest_pitch_kurtosis,0.219311
143,929,corr_haX_haY(s),0.217814
144,962,spectral_entropy_gY_hand,0.217814
145,409,derivative_2_skew_aZ_chest,0.217066
146,748,chest_roll_q05,0.215943
147,630,derivative_4_q20_aY_hand,0.215569
148,347,derivative_2_q20_aX_chest,0.21482
149,684,derivative_4_std_aY_chest,0.214446
150,383,derivative_2_kurtosis_aX_chest,0.213698
151,260,derivative_1_skew_gX_hand,0.213698
152,745,hand_pitch_q05,0.213698
153,70,q95_gY_chest(t),0.212949
154,375,derivative_2_q95_gY_chest,0.212949
155,52,q80_gY_hand(t),0.211826
156,960,spectral_entropy_aZ_hand,0.211452
157,370,derivative_2_q95_gZ_hand,0.211078
158,959,spectral_entropy_aY_hand,0.209955
159,39,q20_gX_hand(t),0.209955
160,779,chest_pitch_rms,0.209581
161,206,derivative_1_q20_gX_chest,0.208832
162,293,derivative_1_crestfactor_aX_hand,0.208458
163,836,q80_gX_hand(s),0.208084
164,15,median_gX_hand(t),0.206961
165,63,q95_gX_hand(t),0.206961
166,711,derivative_4_mad_gY_chest,0.206213
167,483,derivative_3_q05_gY_chest,0.205464
168,961,spectral_entropy_gX_hand,0.205464
169,757,hand_pitch_q95,0.203967
170,872,std_gX_hand(s),0.202844
171,373,derivative_2_q95_aZ_chest,0.202844
172,361,derivative_2_q80_aZ_chest,0.20247
173,64,q95_gY_hand(t),0.200973
174,250,derivative_1_std_gZ_hand,0.200599
175,933,corr_caX_caZ(s),0.199476
176,65,q95_gZ_hand(t),0.198728
177,46,q20_gY_chest(t),0.197605
178,317,derivative_2_median_aX_hand,0.197605
179,34,q05_gY_chest(t),0.196856
180,335,derivative_2_q05_aX_chest,0.194985
181,344,derivative_2_q20_gX_hand,0.194237
182,300,derivative_1_crestfactor_aY_chest,0.193488
183,17,median_gZ_hand(t),0.193488
184,371,derivative_2_q95_aX_chest,0.19274
185,22,median_gY_chest(t),0.191991
186,958,spectral_entropy_aX_hand,0.191991
187,101,skew_gZ_hand(t),0.191617
188,262,derivative_1_skew_gZ_hand,0.191617
189,937,corr_haZ_caZ(s),0.191617
190,47,q20_gZ_chest(t),0.190868
191,338,derivative_2_q05_gX_chest,0.189371
192,139,crestfactor_aY_chest(t),0.188997
193,238,derivative_1_kurtosis_gZ_hand,0.188997
194,359,derivative_2_q80_aX_chest,0.188623
195,894,mad_aY_hand(s),0.188623
196,857,kurtosis_aX_hand(s),0.186003
197,399,derivative_2_std_gY_chest,0.183757
198,239,derivative_1_kurtosis_aX_chest,0.183383
199,936,corr_haY_caY(s),0.183009
200,780,chest_roll_rms,0.18226
201,257,derivative_1_skew_aX_hand,0.18226
202,507,derivative_3_q80_gY_chest,0.181512
203,855,q95_gY_chest(s),0.181138
204,83,kurtosis_gZ_chest(t),0.180763
205,787,mean_aZ_hand(s),0.180015
206,528,derivative_3_kurtosis_aY_chest,0.180015
207,423,derivative_2_mad_gY_chest,0.179641
208,111,mad_gX_hand(t),0.178892
209,963,spectral_entropy_gZ_hand,0.178892
210,627,derivative_4_q05_gY_chest,0.178518
211,214,derivative_1_q80_gZ_hand,0.177769
212,766,hand_roll_std,0.176647
213,461,derivative_3_median_aX_hand,0.176647
214,301,derivative_1_crestfactor_aZ_chest,0.175524
215,263,derivative_1_skew_aX_chest,0.17515
216,976,spectral_centroid_aX_chest,0.17515
217,299,derivative_1_crestfactor_aX_chest,0.174401
218,33,q05_gX_chest(t),0.174401
219,218,derivative_1_q80_gX_chest,0.173653
220,928,crestfactor_gZ_chest(s),0.173278
221,137,crestfactor_gZ_hand(t),0.172904
222,16,median_gY_hand(t),0.172156
223,397,derivative_2_std_aZ_chest,0.172156
224,9,mean_gX_chest(t),0.171781
225,518,derivative_3_q95_gX_chest,0.171407
226,782,hand_roll_crestfactor,0.170659
227,481,derivative_3_q05_aZ_chest,0.170659
228,4,mean_gY_hand(t),0.169536
229,859,kurtosis_aZ_hand(s),0.169536
230,543,derivative_3_std_gY_chest,0.169162
231,76,kurtosis_gY_hand(t),0.168039
232,624,derivative_4_q05_aY_chest,0.168039
233,35,q05_gZ_chest(t),0.167665
234,566,derivative_3_mad_gX_chest,0.16729
235,785,mean_aX_hand(s),0.16729
236,181,derivative_1_median_aZ_chest,0.16729
237,10,mean_gY_chest(t),0.166916
238,743,chest_pitch_median,0.166916
239,51,q80_gX_hand(t),0.166916
240,74,kurtosis_aZ_hand(t),0.166542
241,899,mad_aX_chest(s),0.165793
242,77,kurtosis_gZ_hand(t),0.165419
243,113,mad_gZ_hand(t),0.165045
244,886,skew_gZ_hand(s),0.165045
245,106,skew_gY_chest(t),0.164296
246,193,derivative_1_q05_aZ_chest,0.164296
247,40,q20_gY_hand(t),0.163922
248,660,derivative_4_q95_aY_chest,0.163922
249,78,kurtosis_aX_chest(t),0.163548
250,922,crestfactor_gZ_hand(s),0.163548
251,755,chest_pitch_q80,0.161302
252,58,q80_gY_chest(t),0.161302
253,362,derivative_2_q80_gX_chest,0.160928
254,884,skew_gX_hand(s),0.160928
255,856,q95_gZ_chest(s),0.160554
256,768,chest_roll_std,0.159805
257,862,kurtosis_gZ_hand(s),0.159431
258,98,skew_aZ_hand(t),0.159057
259,360,derivative_2_q80_aY_chest,0.158683
260,57,q80_gX_chest(t),0.158683
261,639,derivative_4_q20_gY_chest,0.158308
262,261,derivative_1_skew_gY_hand,0.157934
263,403,derivative_2_skew_aZ_hand,0.157934
264,642,derivative_4_q80_aY_hand,0.15756
265,241,derivative_1_kurtosis_aZ_chest,0.157186
266,651,derivative_4_q80_gY_chest,0.156811
267,974,spectral_centroid_gY_hand,0.156437
268,259,derivative_1_skew_aZ_hand,0.156437
269,848,q95_gX_hand(s),0.155689
270,891,skew_gY_chest(s),0.15494
271,141,crestfactor_gX_chest(t),0.154566
272,268,derivative_1_skew_gZ_chest,0.154566
273,173,derivative_1_median_aX_hand,0.154566
274,567,derivative_3_mad_gY_chest,0.154192
275,731,derivative_4_crestfactor_aX_chest,0.154192
276,865,kurtosis_aZ_chest(s),0.154192
277,233,derivative_1_kurtosis_aX_hand,0.153817
278,650,derivative_4_q80_gX_chest,0.153443
279,3,mean_gX_hand(t),0.153069
280,350,derivative_2_q20_gX_chest,0.152695
281,374,derivative_2_q95_gX_chest,0.151946
282,866,kurtosis_gX_chest(s),0.151572
283,154,smv_hg(t),0.151198
284,444,derivative_2_crestfactor_aY_chest,0.150823
285,202,derivative_1_q20_gZ_hand,0.150823
286,351,derivative_2_q20_gY_chest,0.150823
287,495,derivative_3_q20_gY_chest,0.150449
288,542,derivative_3_std_gX_chest,0.149701
289,710,derivative_4_mad_gX_chest,0.149701
290,969,spectral_entropy_gZ_chest,0.149326
