index,feature,feature name,importance
1,0,mean_aX_hand(t),1.0
2,1053,bin_90_gZ_chest(t),0.00883713
3,724,derivative_4_rms_gZ_chest,0.00636573
4,138,crestfactor_aX_chest(t),0.00368838
5,1,mean_aY_hand(t),0.00338882
6,771,chest_pitch_skew,0.00316414
7,157,sma_ha(t),0.00286458
8,870,std_aY_hand(s),0.00263991
9,31,q05_aY_chest(t),0.00241523
10,750,hand_roll_q20,0.00239651
11,934,corr_caY_caZ(s),0.00190972
12,1026,bin_30_aX_chest(t),0.00181611
13,140,crestfactor_aZ_chest(t),0.00168505
14,120,rms_aX_hand(t),0.0016476
15,20,median_aZ_chest(t),0.00144165
16,142,crestfactor_gY_chest(t),0.00142293
17,28,q05_gY_hand(t),0.00138548
18,503,derivative_3_q80_aX_chest,0.00138548
19,42,q20_aX_chest(t),0.00136676
20,68,q95_aZ_chest(t),0.00132931
21,12,median_aX_hand(t),0.00129187
22,19,median_aY_chest(t),0.00125442
23,6,mean_aX_chest(t),0.0012357
24,723,derivative_4_rms_gY_chest,0.00121698
25,13,median_aY_hand(t),0.00119826
26,858,kurtosis_aY_hand(s),0.00117953
27,155,smv_ca(t),0.00117953
28,50,q80_aZ_hand(t),0.00117953
29,58,q80_gY_chest(t),0.00116081
30,7,mean_aY_chest(t),0.00116081
31,149,corr_caY_caZ(t),0.00112336
32,153,smv_ha(t),0.00110464
33,1050,bin_10_gZ_chest(t),0.00108592
34,863,kurtosis_aX_chest(s),0.0010672
35,1025,bin_10_aX_chest(t),0.0010672
36,54,q80_aX_chest(t),0.00104847
37,773,hand_pitch_mad,0.00101103
38,39,q20_gX_hand(t),0.000992305
39,2,mean_aZ_hand(t),0.000992305
40,856,q95_gZ_chest(s),0.000973582
41,49,q80_aY_hand(t),0.000973582
42,27,q05_gX_hand(t),0.000954859
43,24,q05_aX_hand(t),0.000917414
44,131,rms_gZ_chest(t),0.000898691
45,129,rms_gX_chest(t),0.000898691
46,25,q05_aY_hand(t),0.000861246
47,304,derivative_1_crestfactor_gZ_chest,0.000861246
48,139,crestfactor_aY_chest(t),0.000842523
49,753,hand_pitch_q80,0.0008238
50,1005,bin_10_aZ_hand(t),0.0008238
51,55,q80_aY_chest(t),0.000805078
52,37,q20_aY_hand(t),0.000786355
53,958,spectral_entropy_aX_hand,0.000786355
54,40,q20_gY_hand(t),0.000767632
55,44,q20_aZ_chest(t),0.000767632
