index,feature,feature name,importance
1,771,chest_pitch_skew,1.0
2,31,q05_aY_chest(t),0.931034
3,750,hand_roll_q20,0.931034
4,157,sma_ha(t),0.862069
5,1025,bin_10_aX_chest(t),0.816092
6,50,q80_aZ_hand(t),0.804598
7,1,mean_aY_hand(t),0.655172
8,20,median_aZ_chest(t),0.574713
9,964,spectral_entropy_aX_chest,0.425287
10,13,median_aY_hand(t),0.37931
11,753,hand_pitch_q80,0.37931
12,153,smv_ha(t),0.367816
13,2,mean_aZ_hand(t),0.344828
14,606,derivative_4_median_aY_hand,0.344828
15,639,derivative_4_q20_gY_chest,0.333333
16,68,q95_aZ_chest(t),0.321839
17,80,kurtosis_aZ_chest(t),0.321839
18,870,std_aY_hand(s),0.310345
19,54,q80_aX_chest(t),0.298851
20,49,q80_aY_hand(t),0.298851
21,759,chest_pitch_q95,0.287356
22,12,median_aX_hand(t),0.287356
23,747,chest_pitch_q05,0.287356
24,772,chest_roll_skew,0.275862
25,128,rms_aZ_chest(t),0.264368
26,6,mean_aX_chest(t),0.241379
27,1030,bin_10_aY_chest(t),0.241379
28,893,mad_aX_hand(s),0.229885
29,555,derivative_3_skew_gY_chest,0.229885
30,303,derivative_1_crestfactor_gY_chest,0.229885
31,687,derivative_4_std_gY_chest,0.218391
32,901,mad_aZ_chest(s),0.195402
33,959,spectral_entropy_aY_hand,0.195402
34,99,skew_gX_hand(t),0.183908
35,776,chest_roll_mad,0.183908
36,60,q95_aX_hand(t),0.172414
37,42,q20_aX_chest(t),0.172414
38,48,q80_aX_hand(t),0.172414
39,55,q80_aY_chest(t),0.16092
40,775,chest_pitch_mad,0.16092
41,0,mean_aX_hand(t),0.149425
42,62,q95_aZ_hand(t),0.149425
43,1031,bin_30_aY_chest(t),0.149425
44,650,derivative_4_q80_gX_chest,0.149425
45,710,derivative_4_mad_gX_chest,0.149425
46,782,hand_roll_crestfactor,0.137931
47,1026,bin_30_aX_chest(t),0.137931
48,151,corr_haY_caY(t),0.137931
49,1001,bin_30_aY_hand(t),0.137931
50,765,hand_pitch_std,0.137931
51,1008,bin_90_aZ_hand(t),0.126437
52,320,derivative_2_median_gX_hand,0.126437
53,762,hand_roll_kurtosis,0.126437
54,403,derivative_2_skew_aZ_hand,0.114943
55,4,mean_gY_hand(t),0.114943
