index,feature,feature name,importance
1,157,sma_ha(t),1.0
2,31,q05_aY_chest(t),0.92562
3,771,chest_pitch_skew,0.842975
4,750,hand_roll_q20,0.809917
5,1,mean_aY_hand(t),0.768595
6,13,median_aY_hand(t),0.727273
7,1025,bin_10_aX_chest(t),0.603306
8,775,chest_pitch_mad,0.578512
9,753,hand_pitch_q80,0.487603
10,639,derivative_4_q20_gY_chest,0.413223
11,122,rms_aZ_hand(t),0.404959
12,870,std_aY_hand(s),0.396694
13,42,q20_aX_chest(t),0.371901
14,0,mean_aX_hand(t),0.330579
15,37,q20_aY_hand(t),0.31405
16,50,q80_aZ_hand(t),0.297521
17,964,spectral_entropy_aX_chest,0.297521
18,740,chest_roll_mean,0.289256
19,120,rms_aX_hand(t),0.289256
20,49,q80_aY_hand(t),0.289256
21,153,smv_ha(t),0.280992
22,759,chest_pitch_q95,0.272727
23,782,hand_roll_crestfactor,0.256198
24,1007,bin_70_aZ_hand(t),0.247934
25,1028,bin_90_aX_chest(t),0.231405
26,950,spectral_energy_gY_hand,0.223141
27,61,q95_aY_hand(t),0.214876
28,1031,bin_30_aY_chest(t),0.206612
29,959,spectral_entropy_aY_hand,0.206612
30,893,mad_aX_hand(s),0.198347
31,142,crestfactor_gY_chest(t),0.198347
32,1030,bin_10_aY_chest(t),0.198347
33,687,derivative_4_std_gY_chest,0.190083
34,8,mean_aZ_chest(t),0.190083
35,20,median_aZ_chest(t),0.181818
36,6,mean_aX_chest(t),0.181818
37,638,derivative_4_q20_gX_chest,0.181818
38,151,corr_haY_caY(t),0.181818
39,303,derivative_1_crestfactor_gY_chest,0.181818
40,774,hand_roll_mad,0.173554
41,1000,bin_10_aY_hand(t),0.173554
42,54,q80_aX_chest(t),0.173554
43,320,derivative_2_median_gX_hand,0.173554
44,1008,bin_90_aZ_hand(t),0.173554
45,403,derivative_2_skew_aZ_hand,0.165289
46,34,q05_gY_chest(t),0.165289
47,772,chest_roll_skew,0.165289
48,132,crestfactor_aX_hand(t),0.157025
49,128,rms_aZ_chest(t),0.157025
50,68,q95_aZ_chest(t),0.157025
51,686,derivative_4_std_gX_chest,0.157025
52,262,derivative_1_skew_gZ_hand,0.157025
