index,feature,feature name,importance
1,792,mean_aY_chest(s),1.0
2,900,mad_aY_chest(s),0.95548711388384944
3,55,q80_aY_chest(t),0.91130798783015043
4,67,q95_aY_chest(t),0.90475062253372729
5,20,median_aZ_chest(t),0.88591462879402416
6,32,q05_aZ_chest(t),0.86291434095636932
7,414,derivative_2_mad_aY_hand,0.82431546565128078
8,8,mean_aZ_chest(t),0.81978667399471927
9,56,q80_aZ_chest(t),0.81471540670628972
10,159,sma_ca(t),0.78427191491490045
11,68,q95_aZ_chest(t),0.72955762584225003
12,966,spectral_entropy_aZ_chest,0.64795533771139679
13,252,derivative_1_std_aY_chest,0.64394368569293237
14,91,std_aY_chest(t),0.63912058770301516
15,43,q20_aY_chest(t),0.59704739209252211
16,889,skew_aZ_chest(s),0.59325808437714744
17,618,derivative_4_q05_aY_hand,0.5905395039950817
18,865,kurtosis_aZ_chest(s),0.57302805305217897
19,115,mad_aY_chest(t),0.53953950766378644
20,925,crestfactor_aZ_chest(s),0.53892760189301236
21,869,std_aX_hand(s),0.53866248013652451
22,44,q20_aZ_chest(t),0.5314449239251483
23,155,smv_ca(t),0.52750216455703025
24,978,spectral_centroid_aZ_chest,0.51966335792499696
25,216,derivative_1_q80_aY_chest,0.51617068013756895
26,739,chest_pitch_mean,0.50538987909833877
27,946,spectral_energy_aX_hand,0.50031110042811233
28,31,q05_aY_chest(t),0.48418970018035395
29,924,crestfactor_aY_chest(s),0.46903805758212841
30,944,sma_ca(s),0.46398614568293201
31,740,chest_roll_mean,0.46353025259817843
32,905,rms_aX_hand(s),0.46134182619532699
33,12,median_aX_hand(t),0.46059346486697916
34,160,sma_cg(t),0.45483283263919039
35,36,q20_aX_hand(t),0.45361251796849827
36,738,hand_roll_mean,0.44614933153217939
37,192,derivative_1_q05_aY_chest,0.43878201547573559
38,277,derivative_1_mad_aZ_chest,0.4213351724308475
39,60,q95_aX_hand(t),0.41560974231667569
40,870,std_aY_hand(s),0.41095318611544596
41,276,derivative_1_mad_aY_chest,0.41078880490935243
42,210,derivative_1_q80_aY_hand,0.40353152376148133
43,330,derivative_2_q05_aY_hand,0.40048264526396193
44,366,derivative_2_q95_aY_hand,0.40026452348880942
45,24,q05_aX_hand(t),0.38685103484377253
46,864,kurtosis_aY_chest(s),0.3811478364687072
47,558,derivative_3_mad_aY_hand,0.37855573768351902
48,893,mad_aX_hand(s),0.37652262844031525
49,228,derivative_1_q95_aY_chest,0.37337856236163758
50,852,q95_aY_chest(s),0.36942293299194151
51,557,derivative_3_mad_aX_hand,0.36611258748426606
52,953,spectral_energy_aY_chest,0.36440359596699479
53,617,derivative_4_q05_aX_hand,0.36121899516267431
54,937,corr_haZ_caZ(s),0.35702205245415708
55,14,median_aZ_hand(t),0.35545229354606145
56,888,skew_aY_chest(s),0.34867956527300614
57,120,rms_aX_hand(t),0.34616734248827913
58,354,derivative_2_q80_aY_hand,0.34520769861051326
59,474,derivative_3_q05_aY_hand,0.33931044524548071
60,977,spectral_centroid_aY_chest,0.33593124680026476
61,737,hand_pitch_mean,0.32788038575922357
62,204,derivative_1_q20_aY_chest,0.32614432463783805
63,89,std_gZ_hand(t),0.32593541686851429
64,209,derivative_1_q80_aX_hand,0.31843712900897514
65,331,derivative_2_q05_aZ_hand,0.31682257994916907
66,486,derivative_3_q20_aY_hand,0.31666891541816861
67,653,derivative_4_q95_aX_hand,0.31657843174904665
68,785,mean_aX_hand(s),0.3126146432505939
69,2,mean_aZ_hand(t),0.31213066774169318
70,38,q20_aZ_hand(t),0.30874835202340656
71,906,rms_aY_hand(s),0.30784425565391355
72,269,derivative_1_mad_aX_hand,0.3071826585964012
73,747,chest_pitch_q05,0.3067000077989287
74,509,derivative_3_q95_aX_hand,0.30581018492311957
75,940,smv_ca(s),0.29652527216583374
76,742,hand_roll_median,0.29251281258586798
77,952,spectral_energy_aX_chest,0.28592869869942833
78,793,mean_aZ_chest(s),0.28568652023097485
79,288,derivative_1_rms_aY_chest,0.2855518270037003
80,193,derivative_1_q05_aZ_chest,0.28536871104931216
81,879,std_gY_chest(s),0.28311232462159192
82,947,spectral_energy_aY_hand,0.28244275055324675
83,741,hand_pitch_median,0.28138358630668864
84,289,derivative_1_rms_aZ_chest,0.28114356942497976
85,48,q80_aX_hand(t),0.27654639855456525
86,911,rms_aX_chest(s),0.27310505307021415
87,876,std_aY_chest(s),0.27173935535841676
88,94,std_gY_chest(t),0.2714927078631616
89,198,derivative_1_q20_aY_hand,0.27092833394955246
90,58,q80_gY_chest(t),0.27071011983386523
91,126,rms_aX_chest(t),0.27022166636580369
92,118,mad_gY_chest(t),0.26935859274578933
93,121,rms_aY_hand(t),0.26887637071619924
94,290,derivative_1_rms_gX_chest,0.26502550884652754
95,197,derivative_1_q20_aX_hand,0.26462625544289742
96,70,q95_gY_chest(t),0.25598125158690427
97,0,mean_aX_hand(t),0.25472157816817248
98,280,derivative_1_mad_gZ_chest,0.25395165613206599
99,140,crestfactor_aZ_chest(t),0.25336813316366186
100,122,rms_aZ_hand(t),0.25071887213379829
101,425,derivative_2_rms_aX_hand,0.24983993037472643
102,199,derivative_1_q20_aZ_hand,0.24941500816686107
103,246,derivative_1_std_aY_hand,0.2488746365689273
104,413,derivative_2_mad_aX_hand,0.24861884643809781
105,510,derivative_3_q95_aY_hand,0.24501352378853006
106,229,derivative_1_q95_aZ_chest,0.24353790364772876
107,912,rms_aY_chest(s),0.24158631196310903
108,642,derivative_4_q80_aY_hand,0.24107863752076611
109,951,spectral_energy_gZ_hand,0.23954034263144
110,389,derivative_2_std_aX_hand,0.23946511981295188
111,292,derivative_1_rms_gZ_chest,0.23739665401194798
112,956,spectral_energy_gY_chest,0.23653035708297659
113,73,kurtosis_aY_hand(t),0.23650868668285502
114,784,chest_roll_crestfactor,0.23571095185105465
115,958,spectral_entropy_aX_hand,0.23503306995755646
116,704,derivative_4_mad_gX_hand,0.23427892686264459
117,149,corr_caY_caZ(t),0.23320112894803724
118,50,q80_aZ_hand(t),0.23299199795926076
119,278,derivative_1_mad_gX_chest,0.23177272162733475
120,783,chest_pitch_crestfactor,0.23158382189209414
121,945,sma_cg(s),0.23025168176840466
122,913,rms_aZ_chest(s),0.2296442793810948
123,156,smv_cg(t),0.22957775861090066
124,127,rms_aY_chest(t),0.22800525660358273
125,125,rms_gZ_hand(t),0.22737350900270956
126,874,std_gZ_hand(s),0.22687673509178438
127,129,rms_gX_chest(t),0.22622557132569465
128,702,derivative_4_mad_aY_hand,0.2256652854609548
129,343,derivative_2_q20_aZ_hand,0.22085407020703982
130,754,hand_roll_q80,0.22073766338720022
131,211,derivative_1_q80_aZ_hand,0.2201501279211262
132,871,std_aZ_hand(s),0.21882202455823502
133,570,derivative_3_rms_aY_hand,0.21834271107582451
134,910,rms_gZ_hand(s),0.21634802564552089
135,342,derivative_2_q20_aY_hand,0.21469728558979798
136,498,derivative_3_q80_aY_hand,0.21244607596738757
137,282,derivative_1_rms_aY_hand,0.21192018067757429
138,875,std_aX_chest(s),0.21099420073767222
139,426,derivative_2_rms_aY_hand,0.21034189670383519
140,139,crestfactor_aY_chest(t),0.21028106700544871
