index,feature,feature name,importance
1,149,corr_caY_caZ(t),1.0
2,67,q95_aY_chest(t),0.890688
3,70,q95_gY_chest(t),0.874494
4,56,q80_aZ_chest(t),0.753036
5,2,mean_aZ_hand(t),0.736842
6,121,rms_aY_hand(t),0.724696
7,26,q05_aZ_hand(t),0.696356
8,870,std_aY_hand(s),0.680162
9,739,chest_pitch_mean,0.676113
10,772,chest_roll_skew,0.647773
11,0,mean_aX_hand(t),0.639676
12,6,mean_aX_chest(t),0.62753
13,43,q20_aY_chest(t),0.623482
14,157,sma_ha(t),0.591093
15,771,chest_pitch_skew,0.582996
16,31,q05_aY_chest(t),0.546559
17,152,corr_haZ_caZ(t),0.534413
18,19,median_aY_chest(t),0.530364
19,68,q95_aZ_chest(t),0.51417
20,9,mean_gX_chest(t),0.510121
21,140,crestfactor_aZ_chest(t),0.506073
22,58,q80_gY_chest(t),0.497976
23,45,q20_gX_chest(t),0.493927
24,50,q80_aZ_hand(t),0.493927
25,7,mean_aY_chest(t),0.489879
26,10,mean_gY_chest(t),0.489879
27,749,hand_pitch_q20,0.477733
28,53,q80_gZ_hand(t),0.473684
29,650,derivative_4_q80_gX_chest,0.469636
30,80,kurtosis_aZ_chest(t),0.465587
31,25,q05_aY_hand(t),0.45749
32,148,corr_caX_caZ(t),0.45749
33,101,skew_gZ_hand(t),0.449393
34,750,hand_roll_q20,0.449393
35,741,hand_pitch_median,0.441296
36,893,mad_aX_hand(s),0.437247
37,49,q80_aY_hand(t),0.433198
38,8,mean_aZ_chest(t),0.421053
39,62,q95_aZ_hand(t),0.421053
40,159,sma_ca(t),0.421053
41,265,derivative_1_skew_aZ_chest,0.417004
42,777,hand_pitch_rms,0.408907
43,651,derivative_4_q80_gY_chest,0.408907
44,775,chest_pitch_mad,0.404858
45,753,hand_pitch_q80,0.40081
46,759,chest_pitch_q95,0.396761
47,146,corr_haY_haZ(t),0.396761
48,979,spectral_centroid_gX_chest,0.392713
49,42,q20_aX_chest(t),0.392713
50,14,median_aZ_hand(t),0.388664
51,77,kurtosis_gZ_hand(t),0.384615
52,1,mean_aY_hand(t),0.384615
53,738,hand_roll_mean,0.376518
54,773,hand_pitch_mad,0.376518
55,961,spectral_entropy_gX_hand,0.368421
56,740,chest_roll_mean,0.364372
57,48,q80_aX_hand(t),0.364372
58,38,q20_aZ_hand(t),0.364372
59,33,q05_gX_chest(t),0.360324
60,24,q05_aX_hand(t),0.360324
61,180,derivative_1_median_aY_chest,0.356275
62,60,q95_aX_hand(t),0.352227
63,965,spectral_entropy_aY_chest,0.352227
64,964,spectral_entropy_aX_chest,0.348178
65,126,rms_aX_chest(t),0.348178
66,32,q05_aZ_chest(t),0.340081
67,769,hand_pitch_skew,0.340081
68,30,q05_aX_chest(t),0.336032
69,754,hand_roll_q80,0.336032
70,781,hand_pitch_crestfactor,0.331984
71,752,chest_roll_q20,0.331984
72,900,mad_aY_chest(s),0.327935
73,156,smv_cg(t),0.319838
74,36,q20_aX_hand(t),0.315789
75,46,q20_gY_chest(t),0.315789
76,763,chest_pitch_kurtosis,0.315789
77,871,std_aZ_hand(s),0.315789
78,875,std_aX_chest(s),0.315789
79,73,kurtosis_aY_hand(t),0.311741
80,135,crestfactor_gX_hand(t),0.311741
81,216,derivative_1_q80_aY_chest,0.307692
82,150,corr_haX_caX(t),0.307692
83,18,median_aX_chest(t),0.307692
84,103,skew_aY_chest(t),0.307692
85,34,q05_gY_chest(t),0.303644
86,113,mad_gZ_hand(t),0.299595
87,12,median_aX_hand(t),0.299595
88,264,derivative_1_skew_aY_chest,0.299595
89,217,derivative_1_q80_aZ_chest,0.295547
90,64,q95_gY_hand(t),0.295547
91,742,hand_roll_median,0.295547
92,132,crestfactor_aX_hand(t),0.291498
93,127,rms_aY_chest(t),0.291498
94,61,q95_aY_hand(t),0.291498
95,79,kurtosis_aY_chest(t),0.291498
96,895,mad_aZ_hand(s),0.287449
97,120,rms_aX_hand(t),0.283401
98,151,corr_haY_caY(t),0.283401
99,519,derivative_3_q95_gY_chest,0.283401
100,711,derivative_4_mad_gY_chest,0.283401
101,37,q20_aY_hand(t),0.279352
102,134,crestfactor_aZ_hand(t),0.275304
103,774,hand_roll_mad,0.275304
104,778,hand_roll_rms,0.275304
105,29,q05_gZ_hand(t),0.275304
106,104,skew_aZ_chest(t),0.275304
107,974,spectral_centroid_gY_hand,0.275304
108,784,chest_roll_crestfactor,0.267206
109,926,crestfactor_gX_chest(s),0.259109
110,65,q95_gZ_hand(t),0.259109
111,44,q20_aZ_chest(t),0.255061
112,153,smv_ha(t),0.255061
113,138,crestfactor_aX_chest(t),0.251012
114,69,q95_gX_chest(t),0.251012
115,144,corr_haX_haY(t),0.251012
116,783,chest_pitch_crestfactor,0.251012
117,28,q05_gY_hand(t),0.246964
118,966,spectral_entropy_aZ_chest,0.246964
119,51,q80_gX_hand(t),0.246964
120,761,hand_pitch_kurtosis,0.246964
121,133,crestfactor_aY_hand(t),0.246964
122,901,mad_aZ_chest(s),0.246964
123,181,derivative_1_median_aZ_chest,0.242915
124,55,q80_aY_chest(t),0.242915
125,155,smv_ca(t),0.242915
126,776,chest_roll_mad,0.242915
127,981,spectral_centroid_gZ_chest,0.242915
128,139,crestfactor_aY_chest(t),0.242915
129,301,derivative_1_crestfactor_aZ_chest,0.234818
130,35,q05_gZ_chest(t),0.230769
131,633,derivative_4_q20_gY_hand,0.230769
132,20,median_aZ_chest(t),0.230769
133,495,derivative_3_q20_gY_chest,0.230769
134,147,corr_caX_caY(t),0.230769
135,122,rms_aZ_hand(t),0.230769
136,202,derivative_1_q20_gZ_hand,0.226721
137,891,skew_gY_chest(s),0.222672
138,105,skew_gX_chest(t),0.222672
139,234,derivative_1_kurtosis_aY_hand,0.222672
140,39,q20_gX_hand(t),0.222672
141,141,crestfactor_gX_chest(t),0.222672
142,852,q95_aY_chest(s),0.222672
143,629,derivative_4_q20_aX_hand,0.218623
144,142,crestfactor_gY_chest(t),0.214575
145,630,derivative_4_q20_aY_hand,0.214575
146,793,mean_aZ_chest(s),0.214575
147,145,corr_haX_haZ(t),0.214575
148,40,q20_gY_hand(t),0.214575
149,967,spectral_entropy_gX_chest,0.214575
150,102,skew_aX_chest(t),0.210526
151,107,skew_gZ_chest(t),0.210526
152,747,chest_pitch_q05,0.210526
153,160,sma_cg(t),0.206478
154,66,q95_aX_chest(t),0.206478
155,22,median_gY_chest(t),0.206478
156,177,derivative_1_median_gY_hand,0.202429
157,17,median_gZ_hand(t),0.198381
158,342,derivative_2_q20_aY_hand,0.198381
159,100,skew_gY_hand(t),0.198381
160,47,q20_gZ_chest(t),0.198381
161,505,derivative_3_q80_aZ_chest,0.198381
