index,feature,feature name,importance
1,149,corr_caY_caZ(t),1.0
2,70,q95_gY_chest(t),0.943396
3,0,mean_aX_hand(t),0.890985
4,739,chest_pitch_mean,0.731656
5,2,mean_aZ_hand(t),0.689727
6,1026,bin_30_aX_chest(t),0.628931
7,56,q80_aZ_chest(t),0.624738
8,750,hand_roll_q20,0.622642
9,31,q05_aY_chest(t),0.614256
10,67,q95_aY_chest(t),0.597484
11,9,mean_gX_chest(t),0.580713
12,43,q20_aY_chest(t),0.551363
13,68,q95_aZ_chest(t),0.545073
14,773,hand_pitch_mad,0.536688
15,26,q05_aZ_hand(t),0.528302
16,157,sma_ha(t),0.526205
17,152,corr_haZ_caZ(t),0.524109
18,140,crestfactor_aZ_chest(t),0.519916
19,870,std_aY_hand(s),0.519916
20,14,median_aZ_hand(t),0.507338
21,784,chest_roll_crestfactor,0.503145
22,49,q80_aY_hand(t),0.496855
23,62,q95_aZ_hand(t),0.494759
24,772,chest_roll_skew,0.494759
25,25,q05_aY_hand(t),0.484277
26,148,corr_caX_caZ(t),0.480084
27,45,q20_gX_chest(t),0.477987
28,30,q05_aX_chest(t),0.473795
29,1,mean_aY_hand(t),0.471698
30,778,hand_roll_rms,0.469602
31,50,q80_aZ_hand(t),0.467505
32,771,chest_pitch_skew,0.465409
33,10,mean_gY_chest(t),0.461216
34,33,q05_gX_chest(t),0.454927
35,264,derivative_1_skew_aY_chest,0.450734
36,754,hand_roll_q80,0.440252
37,34,q05_gY_chest(t),0.438155
38,749,hand_pitch_q20,0.429769
39,8,mean_aZ_chest(t),0.419287
40,753,hand_pitch_q80,0.415094
41,774,hand_roll_mad,0.412998
42,759,chest_pitch_q95,0.412998
43,651,derivative_4_q80_gY_chest,0.410901
44,121,rms_aY_hand(t),0.410901
45,24,q05_aX_hand(t),0.410901
46,6,mean_aX_chest(t),0.408805
47,48,q80_aX_hand(t),0.408805
48,58,q80_gY_chest(t),0.408805
49,126,rms_aX_chest(t),0.404612
50,740,chest_roll_mean,0.404612
51,28,q05_gY_hand(t),0.404612
52,1032,bin_70_aY_chest(t),0.402516
53,265,derivative_1_skew_aZ_chest,0.398323
54,12,median_aX_hand(t),0.396226
55,29,q05_gZ_hand(t),0.392034
56,80,kurtosis_aZ_chest(t),0.392034
57,741,hand_pitch_median,0.387841
58,738,hand_roll_mean,0.383648
59,19,median_aY_chest(t),0.379455
60,1007,bin_70_aZ_hand(t),0.373166
61,38,q20_aZ_hand(t),0.373166
62,64,q95_gY_hand(t),0.373166
63,1033,bin_90_aY_chest(t),0.36478
64,763,chest_pitch_kurtosis,0.362683
65,55,q80_aY_chest(t),0.362683
66,777,hand_pitch_rms,0.362683
67,146,corr_haY_haZ(t),0.360587
68,752,chest_roll_q20,0.356394
69,61,q95_aY_hand(t),0.354298
70,32,q05_aZ_chest(t),0.352201
71,775,chest_pitch_mad,0.350105
72,1031,bin_30_aY_chest(t),0.350105
73,1022,bin_70_gZ_hand(t),0.343816
74,13,median_aY_hand(t),0.341719
75,71,q95_gZ_chest(t),0.337526
76,36,q20_aX_hand(t),0.333333
77,900,mad_aY_chest(s),0.333333
78,101,skew_gZ_hand(t),0.333333
79,650,derivative_4_q80_gX_chest,0.333333
80,1002,bin_70_aY_hand(t),0.331237
81,7,mean_aY_chest(t),0.327044
82,1025,bin_10_aX_chest(t),0.327044
83,60,q95_aX_hand(t),0.324948
84,1040,bin_10_gX_chest(t),0.322851
85,137,crestfactor_gZ_hand(t),0.316562
86,66,q95_aX_chest(t),0.316562
87,135,crestfactor_gX_hand(t),0.316562
88,104,skew_aZ_chest(t),0.312369
89,69,q95_gX_chest(t),0.312369
90,893,mad_aX_hand(s),0.308176
91,127,rms_aY_chest(t),0.308176
92,79,kurtosis_aY_chest(t),0.308176
93,120,rms_aX_hand(t),0.30608
94,150,corr_haX_caX(t),0.30608
95,1045,bin_10_gY_chest(t),0.303983
96,35,q05_gZ_chest(t),0.301887
97,37,q20_aY_hand(t),0.29979
98,20,median_aZ_chest(t),0.291405
99,180,derivative_1_median_aY_chest,0.289308
100,996,bin_30_aX_hand(t),0.289308
101,42,q20_aX_chest(t),0.287212
102,217,derivative_1_q80_aZ_chest,0.287212
103,781,hand_pitch_crestfactor,0.285115
104,18,median_aX_chest(t),0.285115
105,1027,bin_70_aX_chest(t),0.283019
106,776,chest_roll_mad,0.280922
107,136,crestfactor_gY_hand(t),0.278826
108,216,derivative_1_q80_aY_chest,0.278826
109,258,derivative_1_skew_aY_hand,0.278826
110,1001,bin_30_aY_hand(t),0.278826
111,1011,bin_30_gX_hand(t),0.27673
112,53,q80_gZ_hand(t),0.27673
113,995,bin_10_aX_hand(t),0.27673
114,39,q20_gX_hand(t),0.266247
115,47,q20_gZ_chest(t),0.264151
116,138,crestfactor_aX_chest(t),0.262055
117,65,q95_gZ_hand(t),0.257862
118,1042,bin_70_gX_chest(t),0.257862
119,878,std_gX_chest(s),0.257862
120,1006,bin_30_aZ_hand(t),0.257862
121,181,derivative_1_median_aZ_chest,0.255765
122,871,std_aZ_hand(s),0.253669
123,21,median_gX_chest(t),0.251572
124,151,corr_haY_caY(t),0.249476
125,647,derivative_4_q80_aX_chest,0.249476
126,77,kurtosis_gZ_hand(t),0.245283
127,193,derivative_1_q05_aZ_chest,0.24109
128,875,std_aX_chest(s),0.24109
129,94,std_gY_chest(t),0.238994
130,63,q95_gX_hand(t),0.236897
131,1047,bin_70_gY_chest(t),0.234801
132,627,derivative_4_q05_gY_chest,0.234801
133,128,rms_aZ_chest(t),0.234801
134,46,q20_gY_chest(t),0.232704
135,261,derivative_1_skew_gY_hand,0.232704
136,301,derivative_1_crestfactor_aZ_chest,0.232704
137,355,derivative_2_q80_aZ_hand,0.230608
138,766,hand_roll_std,0.230608
139,639,derivative_4_q20_gY_chest,0.228512
140,4,mean_gY_hand(t),0.226415
